Iteration	Posterior	Likelihood	Prior	alpha_inv	alpha_morpho	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	relative_bl[1]	relative_bl[2]	relative_bl[3]	relative_bl[4]	relative_bl[5]	relative_bl[6]	relative_bl[7]	relative_bl[8]	relative_bl[9]	relative_bl[10]	relative_bl[11]	relative_bl[12]	relative_bl[13]	relative_bl[14]	relative_bl[15]	relative_bl[16]	relative_bl[17]	relative_bl[18]	relative_bl[19]	relative_bl[20]	relative_bl[21]	relative_bl[22]	relative_bl[23]	relative_bl[24]	relative_bl[25]	relative_bl[26]	relative_bl[27]	relative_bl[28]	relative_bl[29]	relative_bl[30]	relative_bl[31]	relative_bl[32]	relative_bl[33]	relative_bl[34]	relative_bl[35]	relative_bl[36]	relative_bl[37]	relative_bl[38]	relative_bl[39]	relative_bl[40]	relative_bl[41]	relative_bl[42]	relative_bl[43]	relative_bl[44]	relative_bl[45]	relative_bl[46]	relative_bl[47]	relative_bl[48]	relative_bl[49]	relative_bl[50]	relative_bl[51]	relative_bl[52]	relative_bl[53]	relative_bl[54]	relative_bl[55]	relative_bl[56]	relative_bl[57]	relative_bl[58]	relative_bl[59]	relative_bl[60]	relative_bl[61]	relative_bl[62]	relative_bl[63]	relative_bl[64]	relative_bl[65]	relative_bl[66]	relative_bl[67]	relative_bl[68]	relative_bl[69]	relative_bl[70]	relative_bl[71]	relative_bl[72]	relative_bl[73]	relative_bl[74]	relative_bl[75]	relative_bl[76]	relative_bl[77]	tree_length
0	-1307.208	-1438.305	131.0967	0.8370156	1.194721	0.0203848	0.00375709	0.0316823	0.00866062	0.00430019	0.00589164	0.0377905	0.0446489	0.0200714	0.0230616	0.00774343	0.0352541	0.0311353	0.0626532	0.0125459	0.00799494	0.00807653	0.0127176	0.0179406	0.0173345	0.0119389	0.00905001	0.0055612	0.0117293	0.0315177	0.0184427	0.0087715	0.0123267	0.00166224	0.00161217	0.00236474	0.0261342	0.0408529	0.0136122	0.00651784	0.00779875	0.00185835	0.006589	0.00235059	0.0299601	0.0253424	0.00480315	0.00746764	0.0140161	0.00906519	0.0552243	0.00553777	0.0108691	0.00440577	0.0359644	0.00532283	0.0221306	0.063373	0.0836073	0.115722	0.0820656	0.00140689	0.0187236	0.0352491	0.0110798	0.0385897	0.016045	0.0213161	0.0072701	0.010739	0.081357	0.0333305	0.00759836	0.00912797	0.00279979	0.00736448	0.0439297	0.00114656	0.0170108	0.0190366	0.0396947	0.0595506	0.174095	0.528363	1.02603	2.27152	0.0120508	0.00222105	0.0187294	0.00511984	0.00254211	0.00348292	0.0223404	0.0263948	0.0118655	0.0136332	0.00457763	0.020841	0.0184061	0.0370383	0.0074167	0.00472632	0.00477455	0.00751817	0.0106058	0.0102475	0.00705782	0.00535004	0.00328758	0.00693393	0.0186321	0.0109026	0.00518539	0.00728711	0.000982657	0.000953057	0.00139795	0.0154496	0.0241507	0.00804702	0.00385311	0.00461034	0.00109859	0.00389517	0.00138958	0.0177113	0.0149815	0.00283945	0.0044146	0.00828578	0.00535901	0.0326466	0.00327373	0.00642539	0.00260453	0.0212609	0.00314666	0.0130828	0.0374638	0.0494256	0.0684107	0.0485142	0.000831702	0.0110687	0.020838	0.00654999	0.0228128	0.00948521	0.0126013	0.00429782	0.00634852	0.0480953	0.0197038	0.00449187	0.00539612	0.00165514	0.00435361	0.0259696	0.000677802	0.0100562	0.0112538	0.023466	0.0352041	1.69158
10	-1299.568	-1431.163	131.5952	0.7834167	1.27646	0.0202925	0.00292527	0.017664	0.00852136	0.00653163	0.00299092	0.0355046	0.014592	0.0157295	0.00712521	0.00771976	0.0268751	0.0244	0.0490999	0.00499496	0.00223661	0.00433343	0.0185334	0.0140596	0.00575024	0.00365788	0.000942267	0.0101194	0.00397114	0.0240013	0.00589133	0.0166004	0.00714423	0.00185416	0.00776801	0.00185319	0.0204808	0.0135654	0.0132747	0.0112525	0.0138864	0.00145635	0.015338	0.00108702	0.0133265	0.0114225	0.00462218	0.0347133	0.0197569	0.00581292	0.0317939	0.00992972	0.0317658	0.00168914	0.00806638	0.00397837	0.00720993	0.0319288	0.0333466	0.080895	0.0643129	0.00452345	0.0353708	0.0235264	0.0219124	0.0302419	0.00704612	0.00440055	0.00398578	0.0105696	0.0624596	0.0148049	0.0123022	0.00511278	0.00837262	0.00604629	0.0495515	0.00233614	0.0110007	0.0358291	0.028868	0.00983741	0.188636	0.546561	1.03407	2.23073	0.016277	0.00234642	0.0141687	0.00683517	0.00523916	0.00239908	0.028479	0.0117046	0.0126169	0.00571529	0.00619219	0.0215571	0.0195718	0.0393841	0.00400656	0.00179404	0.00347594	0.014866	0.0112775	0.00461239	0.00293407	0.000755813	0.00811699	0.00318534	0.019252	0.00472557	0.0133156	0.00573055	0.00148726	0.00623089	0.00148649	0.0164281	0.0108811	0.0106479	0.00902585	0.0111386	0.00116817	0.0123029	0.000871923	0.0106895	0.00916224	0.00370755	0.0278443	0.0158474	0.00466267	0.0255026	0.00796484	0.0254801	0.00135489	0.00647022	0.00319114	0.00578324	0.0256108	0.026748	0.0648876	0.0515868	0.00362836	0.0283717	0.018871	0.0175764	0.0242577	0.00565185	0.00352978	0.00319708	0.00847808	0.0501002	0.0118753	0.00986788	0.00410107	0.00671586	0.00484986	0.0397463	0.00187387	0.0088239	0.0287393	0.0231557	0.0078908	1.246693
20	-1301.136	-1432.181	131.0452	1.431045	0.6987899	0.0314475	0.00295796	0.011949	0.00741227	0.0067512	0.00865696	0.0130737	0.0156532	0.0151834	0.00494507	0.00745173	0.0216443	0.0330086	0.0473952	0.000669187	0.00248514	0.00418298	0.0178899	0.0113884	0.00193886	0.00429605	0.000427814	0.00907894	0.00183892	0.0274057	0.0112827	0.00936606	0.00901309	0.000381959	0.00225271	0.00403532	0.00224532	0.00249641	0.0185324	0.00350072	0.0134043	0.0114164	0.0148055	0.00248058	0.0111301	0.00664191	0.00592448	0.0237426	0.00596583	0.0056111	0.026968	0.0146769	0.030663	0.00467396	0.00599074	0.00414321	0.0119354	0.0213072	0.0321888	0.0788231	0.0798407	0.00974432	0.0234805	0.0124927	0.0128897	0.02757	0.00234491	0.00311622	0.0129938	0.0102026	0.0435127	0.016043	0.0168395	0.00257465	0.00476156	0.00481087	0.0954748	0.00129843	0.0149412	0.0292961	0.0116494	0.00842694	0.0739298	0.362959	0.924419	2.63869	0.0273686	0.0025743	0.0103992	0.00645086	0.00587554	0.0075341	0.011378	0.0136229	0.013214	0.00430367	0.0064852	0.0188369	0.0287272	0.0412478	0.00058239	0.0021628	0.00364042	0.0155695	0.00991131	0.00168738	0.00373883	0.000372324	0.00790135	0.00160041	0.0238511	0.00981924	0.00815123	0.00784404	0.000332417	0.00196052	0.00351191	0.00195409	0.00217261	0.0161286	0.00304666	0.0116657	0.00993563	0.0128851	0.00215883	0.00968649	0.00578042	0.00515604	0.0206631	0.00519203	0.00488331	0.0234701	0.0127732	0.0266858	0.00406772	0.00521371	0.00360582	0.0103873	0.0185435	0.0280138	0.0685993	0.0694849	0.00848043	0.0204349	0.0108723	0.0112178	0.0239941	0.00204076	0.00271203	0.0113084	0.00887927	0.0378688	0.0139622	0.0146553	0.0022407	0.00414396	0.00418687	0.0830912	0.00113001	0.0130033	0.0254963	0.0101384	0.00733392	1.149036
30	-1308.471	-1438.96	130.489	2.27457	0.4396436	0.0231947	0.00291115	0.00881324	0.00194322	0.0164862	0.00411925	0.00983948	0.0156904	0.0135355	0.00181487	0.0100617	0.00746973	0.0243461	0.0350724	0.000740837	0.000778856	0.00491088	0.00822397	0.00271269	0.000468879	0.00811923	0.00205027	0.01663	0.00135633	0.012965	0.00515695	0.0144387	0.0036995	0.000265558	0.0021497	0.00853596	0.00728793	0.00338657	0.0121782	0.0029807	0.0132541	0.00512329	0.01092	0.000888821	0.0106597	0.00770186	0.00569633	0.0175399	0.0102819	0.0173524	0.00722249	0.004009	0.00356325	0.00148855	0.00441858	0.00406347	0.0163987	0.0275194	0.0183565	0.0581374	0.0679833	0.0034734	0.0173185	0.0168383	0.00655049	0.0319341	0.00739654	0.0117961	0.00958379	0.00484391	0.0376435	0.013281	0.011323	0.00407911	0.00399271	0.00241119	0.0320793	0.00501657	0.00198823	0.0216079	0.00561368	0.00600384	0.0228242	0.210702	0.770848	2.99563	0.0269177	0.00337843	0.0102279	0.00225513	0.0191325	0.00478045	0.0114188	0.0182089	0.0157081	0.00210618	0.0116767	0.00866871	0.0282539	0.0407019	0.00085975	0.000903872	0.00569914	0.00954402	0.00314811	0.00054414	0.00942247	0.00237936	0.0192993	0.00157404	0.015046	0.0059847	0.0167563	0.00429331	0.000308184	0.00249476	0.00990608	0.00845773	0.00393015	0.0141329	0.00345914	0.0153816	0.00594564	0.0126728	0.00103149	0.0123708	0.00893811	0.00661066	0.0203552	0.0119323	0.0201377	0.00838179	0.00465249	0.0041352	0.00172748	0.00512782	0.00471571	0.0190309	0.0319366	0.0213029	0.0674692	0.0788954	0.00403092	0.0200983	0.019541	0.00760192	0.0370599	0.00858377	0.0136895	0.0111221	0.00562142	0.0436857	0.0154128	0.0131404	0.00473385	0.00463359	0.00279821	0.0372284	0.00582179	0.00230736	0.0250762	0.00651474	0.00696753	0.8616885
40	-1302.982	-1433.996	131.0148	0.8939412	1.118642	0.0448342	0.00502927	0.00907107	0.0117011	0.00247048	0.00163843	0.0406521	0.0215112	0.0269272	0.000986462	0.0115915	0.033258	0.0323197	0.0677933	0.00749222	0.00205126	0.00637311	0.0110716	0.00880005	0.00421318	0.0113144	0.00779459	0.032145	0.00565855	0.0315312	0.0254571	0.0279094	0.00582347	0.00213066	0.00881352	0.0169191	0.0114163	0.00904474	0.0153413	0.00649032	0.0256196	0.00990309	0.0211079	0.00139419	0.0204291	0.0199495	0.00821612	0.048212	0.0243425	0.0178222	0.0189971	0.0103809	0.0173173	0.00191536	0.0337506	0.00555657	0.0229706	0.0563168	0.0471061	0.145295	0.0713135	0.00949218	0.0622809	0.0149072	0.0372708	0.0598091	0.00448231	0.0128918	0.0131947	0.0316868	0.0727631	0.0305015	0.0162761	0.00849787	0.00651888	0.00208103	0.0620078	0.0305527	0.0103091	0.0163196	0.00775679	0.0114311	0.16	0.509722	1.01718	2.3131	0.0261192	0.00292992	0.00528456	0.00681677	0.00143923	0.000954505	0.0236828	0.0125319	0.0156871	0.000574687	0.00675288	0.0193752	0.0188286	0.0394945	0.00436477	0.00119501	0.00371281	0.00645001	0.00512667	0.00245449	0.00659146	0.00454092	0.0187268	0.00329652	0.0183692	0.0148306	0.0162592	0.0033926	0.00124127	0.00513452	0.00985662	0.00665082	0.00526922	0.00893745	0.00378109	0.0149253	0.00576927	0.0122969	0.000812216	0.0119014	0.0116221	0.00478649	0.028087	0.0141813	0.0103828	0.0110672	0.00604766	0.0100886	0.00111584	0.0196622	0.00323711	0.0133821	0.0328087	0.0274427	0.0846448	0.0415454	0.00552989	0.0362832	0.00868455	0.021713	0.0348432	0.00261127	0.00751044	0.00768689	0.0184599	0.0423898	0.0177694	0.009482	0.00495063	0.00379772	0.00121235	0.0361241	0.0177992	0.0060058	0.00950738	0.0045189	0.00665946	1.716522
50	-1303.217	-1434.368	131.1508	0.8076014	1.238235	0.0139725	0.00309532	0.00436387	0.00913967	0.0165418	0.00250832	0.00700848	0.058797	0.0147085	0.00464663	0.0166465	0.0452245	0.0301614	0.0632661	0.00780914	0.00797024	0.00357277	0.00858368	0.0100158	0.00315757	0.0141121	0.00326246	0.0367345	0.0115802	0.0294256	0.0129433	0.0402501	0.00902187	0.00105663	0.00222509	0.00858038	0.0172308	0.0054769	0.0299896	0.00553562	0.0176228	0.00933074	0.0172199	0.000305656	0.0184013	0.0145818	0.00914245	0.0448384	0.0109235	0.0252022	0.0241613	0.0223466	0.0143408	0.00253677	0.0110587	0.00208649	0.0130434	0.052556	0.0270234	0.161079	0.0694748	0.00397155	0.0476861	0.0326874	0.0324136	0.0594741	0.00554454	0.0202964	0.0139438	0.019301	0.067904	0.0575769	0.0117357	0.00795119	0.00134787	0.00152806	0.0739599	0.015816	0.00797257	0.0378334	0.00930119	0.0127025	0.181913	0.53827	1.03048	2.24934	0.00838264	0.001857	0.00261805	0.00548324	0.00992406	0.00150484	0.00420466	0.0352745	0.00882418	0.00278769	0.00998684	0.0271319	0.018095	0.0379557	0.004685	0.00478165	0.00214344	0.00514968	0.00600885	0.00189435	0.00846641	0.00195727	0.0220384	0.00694742	0.0176535	0.00776517	0.0241476	0.00541256	0.000633912	0.00133492	0.00514769	0.0103374	0.0032858	0.0179919	0.00332103	0.0105726	0.00559786	0.0103309	0.000183375	0.0110396	0.0087482	0.0054849	0.0269002	0.00655344	0.0151197	0.0144953	0.0134066	0.00860358	0.0015219	0.00663455	0.00125177	0.00782523	0.0315304	0.0162124	0.0966374	0.0416806	0.00238268	0.0286087	0.0196104	0.0194462	0.0356808	0.00332638	0.0121766	0.0083654	0.0115794	0.0407382	0.0345425	0.00704069	0.00477022	0.000808638	0.00091674	0.0443714	0.00948863	0.00478305	0.0226977	0.00558014	0.00762074	1.666839
60	-1304.714	-1435.271	130.5566	1.442357	0.6933098	0.0198079	0.00373195	0.00574255	0.00637732	0.000748268	0.00598283	0.00697671	0.0372651	0.0113324	0.00469778	0.0165442	0.0166139	0.0300247	0.0690149	0.00580097	0.00291338	0.00294081	0.0117794	0.00182728	0.0127076	0.0140482	0.00542199	0.0189201	0.0268452	0.0164002	0.0215346	0.00588127	0.0149866	0.00389189	0.00440362	0.00690757	0.0280474	0.0164465	0.00873787	0.0168822	0.0175429	0.0117428	0.0247983	0.000411012	0.0183179	0.0194453	0.00652841	0.0446351	0.00807893	0.0197291	0.0453245	0.0222453	0.0186027	0.0036199	0.00579627	0.00611504	0.0137962	0.0547334	0.048979	0.147802	0.0691599	0.00248018	0.0474699	0.0142905	0.0322667	0.0591319	0.0291826	0.0202044	0.0168672	0.0192134	0.0411682	0.0310422	0.00418687	0.00312611	0.000487554	0.00685655	0.100358	0.0116222	0.00333549	0.0546624	0.00925902	0.0295463	0.0727598	0.360356	0.922364	2.64452	0.0121794	0.00229468	0.00353095	0.00392126	0.000460091	0.0036787	0.0042898	0.0229134	0.00696802	0.00288855	0.0101726	0.0102154	0.0184614	0.0424356	0.00356687	0.00179136	0.00180823	0.00724286	0.00112355	0.0078136	0.00863787	0.00333384	0.0116335	0.0165064	0.0100841	0.0132411	0.00361624	0.00921491	0.00239302	0.00270768	0.00424729	0.0172456	0.0101125	0.0053727	0.0103804	0.0107867	0.00722036	0.0152479	0.000252721	0.0112632	0.0119564	0.00401416	0.027445	0.00496753	0.0121309	0.0278689	0.0136781	0.0114384	0.00222579	0.00356398	0.00375998	0.00848295	0.0336542	0.0301159	0.0908795	0.0425247	0.001525	0.029188	0.00878688	0.01984	0.0363587	0.0179436	0.0124232	0.0103712	0.0118139	0.0253133	0.0190871	0.0025744	0.00192217	0.000299785	0.00421592	0.0617079	0.00714621	0.00205091	0.0336106	0.00569314	0.0181673	1.626347
70	-1314.858	-1446.17	131.312	0.8185531	1.221668	0.0154942	0.00408431	0.00358521	0.0241406	0.000424452	0.0202518	0.0203987	0.0367709	0.000928155	0.00282832	0.00611221	0.0169518	0.0127932	0.0402402	0.00591897	0.0114913	0.00208812	0.00671259	0.00202815	0.00599921	0.00723306	0.0301841	0.019305	0.0236823	0.019251	0.0140017	0.00600091	0.0338273	0.00530423	0.00447246	0.00704809	0.0393538	0.038973	0.00215871	0.0107302	0.0103227	0.0180178	0.0152562	0.000792342	0.00892841	0.0351046	0.0031833	0.0689782	0.02302	0.0157641	0.0607277	0.0226978	0.027752	0.00369354	0.00107075	0.000957118	0.0246482	0.0558468	0.0614361	0.066657	0.0705668	0.00557714	0.0484356	0.0145812	0.0329231	0.0248815	0.0295735	0.00575328	0.00917809	0.00696086	0.0430337	0.019771	0.00577233	0.00261987	0.000720745	0.00442343	0.101425	0.00755729	0.00886495	0.0172285	0.00558526	0.00369265	0.178958	0.534559	1.02883	2.25765	0.0103658	0.00273244	0.00239854	0.0161503	0.000283962	0.0135487	0.0136469	0.0246001	0.000620944	0.00189217	0.00408912	0.0113409	0.00855876	0.0269211	0.00395985	0.00768779	0.00139697	0.00449078	0.00135685	0.00401352	0.00483898	0.0201934	0.0129152	0.0158437	0.0128791	0.00936729	0.00401466	0.0226308	0.00354858	0.00299212	0.00471524	0.0263281	0.0260733	0.0014442	0.0071786	0.00690597	0.012054	0.0102065	0.000530084	0.00597318	0.0234853	0.00212966	0.046147	0.0154006	0.0105463	0.0406274	0.015185	0.0185664	0.00247101	0.000716338	0.00064032	0.0164899	0.037362	0.0411013	0.0445941	0.0472098	0.00373116	0.0324038	0.00975497	0.0220258	0.0166459	0.0197849	0.00384899	0.00614022	0.00465687	0.0287899	0.0132269	0.00386174	0.00175272	0.000482185	0.00295931	0.0678542	0.00505589	0.00593073	0.011526	0.00373659	0.00247041	1.494749
80	-1311.523	-1442.814	131.2906	0.8030499	1.245253	0.010848	0.00271538	0.0059285	0.0251854	0.00306081	0.0101663	0.0318564	0.0384712	0.0162234	0.00117998	0.00394606	0.0600583	0.034241	0.0178766	0.00989204	0.0131926	0.00838164	0.00584872	0.000737258	0.0062766	0.0110187	0.00935855	0.0263628	0.0214676	0.0290422	0.0166258	0.00439908	0.0353914	0.00554949	0.00543081	0.000820401	0.0411735	0.0357471	0.0211191	0.00405163	0.000347376	0.0188509	0.0159616	0.000699182	0.00558102	0.0367278	0.0236252	0.0105287	0.00633101	0.010354	0.0620432	0.00275349	0.0138483	0.00691184	0.00509481	0.00640566	0.0168795	0.0584291	0.0642768	0.0697392	0.111009	0.00388671	0.0238908	0.0141775	0.0307142	0.0441009	0.00486103	0.00993646	0.0156068	0.0205309	0.0379055	0.0350647	0.00264708	0.00220383	5.80955e-05	0.00631519	0.106115	0.00552675	0.00775669	0.0268959	0.00605496	0.00736715	0.183158	0.53982	1.03116	2.24586	0.00708249	0.00177284	0.00387064	0.0164432	0.00199837	0.00663746	0.0207987	0.0251173	0.010592	0.000770397	0.00257633	0.0392113	0.0223555	0.0116714	0.00645839	0.00861328	0.00547227	0.00381855	0.000481347	0.00409791	0.00719395	0.00611008	0.017212	0.0140159	0.0189613	0.0108548	0.00287211	0.0231066	0.00362319	0.00354571	0.000535629	0.0268817	0.0233389	0.0137884	0.00264526	0.000226797	0.0123075	0.0104212	0.000456487	0.00364377	0.0239791	0.0154246	0.00687406	0.00413344	0.00676003	0.0405072	0.00179772	0.00904137	0.00451265	0.00332633	0.00418218	0.0110204	0.0381476	0.0419655	0.0455318	0.0724762	0.00253758	0.015598	0.00925628	0.0200529	0.0287929	0.00317371	0.00648739	0.0101895	0.0134044	0.024748	0.0228933	0.00172825	0.00143886	3.79298e-05	0.00412311	0.069281	0.00360834	0.00506425	0.01756	0.00395321	0.00480992	1.531658
90	-1309.221	-1440.034	130.8127	1.514198	0.6604154	0.0153627	0.00520201	0.0156175	0.00556095	0.00949558	0.0126823	0.0233919	0.0267466	0.0169121	0.000991381	0.00423497	0.0458284	0.0139719	0.0308633	0.00300917	0.00879762	0.000803085	0.00446295	0.00267915	0.0188189	0.00925463	0.00982275	0.0228142	0.00886715	0.0251897	0.0232735	0.0063709	0.00991265	0.0055621	0.00460464	0.00118718	0.0123487	0.0280121	0.00465725	0.000861796	0.000244907	0.0126983	0.0323498	0.000126277	0.00479605	0.0280257	0.0374236	0.0259097	0.0170327	0.0148485	0.015758	0.00748172	0.00403419	0.0045672	0.0115058	0.00488793	0.0247571	0.0410441	0.0524327	0.113184	0.091873	0.0100051	0.0287749	0.0322316	0.00386886	0.0336518	0.00705352	0.000548336	0.00813717	0.00257013	0.0349227	0.0267566	0.00173537	0.000387284	0.00279959	0.00550708	0.0827418	0.0091705	0.00526814	0.0107155	0.00677448	0.00162564	0.0657615	0.344239	0.909267	2.68073	0.011832	0.00400648	0.0120283	0.00428293	0.0073133	0.00976763	0.018016	0.0205997	0.0130254	0.000763541	0.00326169	0.035296	0.0107609	0.0237703	0.0023176	0.00677574	0.000618519	0.00343727	0.00206342	0.014494	0.00712772	0.00756528	0.017571	0.00682929	0.0194006	0.0179248	0.00490674	0.00763451	0.00428381	0.0035464	0.000914343	0.00951071	0.0215743	0.00358691	0.000663738	0.000188623	0.00978	0.0249152	9.72561e-05	0.00369382	0.0215848	0.0288229	0.0199551	0.0131183	0.011436	0.0121365	0.00576227	0.00310705	0.00351756	0.00886152	0.00376458	0.0190674	0.0316113	0.0403826	0.0871719	0.0707587	0.00770569	0.0221618	0.0248241	0.00297972	0.0259179	0.00543247	0.000422317	0.00626708	0.00197946	0.0268967	0.0206074	0.00133655	0.000298278	0.00215618	0.00424144	0.063726	0.00706293	0.00405741	0.00825288	0.00521756	0.00125203	1.298399
