Iteration	Posterior	Likelihood	Prior	alpha_inv	alpha_morpho	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	relative_bl[1]	relative_bl[2]	relative_bl[3]	relative_bl[4]	relative_bl[5]	relative_bl[6]	relative_bl[7]	relative_bl[8]	relative_bl[9]	relative_bl[10]	relative_bl[11]	relative_bl[12]	relative_bl[13]	relative_bl[14]	relative_bl[15]	relative_bl[16]	relative_bl[17]	relative_bl[18]	relative_bl[19]	relative_bl[20]	relative_bl[21]	relative_bl[22]	relative_bl[23]	relative_bl[24]	relative_bl[25]	relative_bl[26]	relative_bl[27]	relative_bl[28]	relative_bl[29]	relative_bl[30]	relative_bl[31]	relative_bl[32]	relative_bl[33]	relative_bl[34]	relative_bl[35]	relative_bl[36]	relative_bl[37]	relative_bl[38]	relative_bl[39]	relative_bl[40]	relative_bl[41]	relative_bl[42]	relative_bl[43]	relative_bl[44]	relative_bl[45]	relative_bl[46]	relative_bl[47]	relative_bl[48]	relative_bl[49]	relative_bl[50]	relative_bl[51]	relative_bl[52]	relative_bl[53]	relative_bl[54]	relative_bl[55]	relative_bl[56]	relative_bl[57]	relative_bl[58]	relative_bl[59]	relative_bl[60]	relative_bl[61]	relative_bl[62]	relative_bl[63]	relative_bl[64]	relative_bl[65]	relative_bl[66]	relative_bl[67]	relative_bl[68]	relative_bl[69]	relative_bl[70]	relative_bl[71]	relative_bl[72]	relative_bl[73]	relative_bl[74]	relative_bl[75]	relative_bl[76]	relative_bl[77]	tree_length
0	-901.1847	-1031.64	130.4557	1.528558	0.6542112	0.0220981	0.00127201	0.0183489	0.0249495	0.00607365	0.00800317	0.0217265	0.0215722	0.0328575	0.0134184	0.0037866	0.0197337	0.0436932	0.0662157	0.0128951	0.000356866	0.0164305	0.00986718	0.00484391	0.000997354	0.0105112	0.0174437	0.00483802	0.000987787	0.0106045	0.00975935	0.00811202	0.00182851	0.00893825	0.00763258	0.0174722	0.000315494	0.0263135	0.0393114	0.00560746	0.00428339	0.00662275	0.00327642	0.000242276	0.0114464	0.000871541	0.0496713	0.0779326	0.10368	0.123145	0.000140363	0.0567409	0.0549615	0.00972303	0.00873569	0.0185793	0.0470285	0.00791469	0.0167689	0.0159778	0.0422495	0.0480436	0.00535538	0.00527688	0.00981547	0.000479418	0.0263287	0.127692	0.00965701	0.0355076	0.00163767	0.0100439	0.0332336	0.00730418	0.038656	0.0185692	0.00340552	0.0047458	0.0227507	0.0128717	0.0210749	0.0198093	0.0644479	0.3411	0.906642	2.68781	0.0134657	0.000775111	0.0111811	0.0152032	0.00370104	0.00487681	0.0132393	0.0131452	0.020022	0.00817664	0.0023074	0.0120249	0.0266249	0.0403492	0.00785776	0.00021746	0.0100121	0.00601266	0.00295169	0.000607748	0.00640508	0.0106295	0.00294809	0.000601918	0.00646194	0.00594696	0.00494314	0.00111422	0.00544661	0.00465099	0.0106469	0.000192249	0.0160344	0.0239548	0.00341696	0.00261013	0.00403563	0.00199652	0.000147634	0.00697499	0.000531082	0.0302677	0.047489	0.0631787	0.0750395	8.55319e-05	0.0345757	0.0334913	0.00592482	0.00532318	0.0113215	0.0286573	0.00482289	0.0102183	0.00973622	0.0257451	0.0292759	0.00326335	0.00321552	0.00598115	0.000292138	0.0160437	0.0778103	0.00588459	0.0216369	0.000997927	0.00612036	0.0202512	0.00445087	0.0235554	0.0113153	0.00207519	0.0028919	0.0138634	0.00784348	0.0128422	0.012071	1.641067
10	-905.1108	-1036.027	130.9159	1.059687	0.9436753	0.0178962	0.00227815	0.00676087	0.0237166	0.0101363	0.0148624	0.0247372	0.00874492	0.0392411	0.0323195	0.00800976	0.0172906	0.0425571	0.064494	0.00165752	0.0010817	0.00779532	0.00818017	0.00471797	0.00573682	0.0163175	0.00416139	0.0262271	0.00248031	0.0359865	0.0146889	0.0117736	0.0170284	0.0180204	0.00442198	0.016861	0.000721931	0.0190526	0.0248706	0.0102016	0.00543008	0.00711251	0.015782	0.000749007	0.016589	0.00347323	0.0576115	0.0759062	0.0696399	0.119943	0.000286256	0.0565256	0.0326124	0.00599843	0.00722	0.00163795	0.0346094	0.00643975	0.00718962	0.00896179	0.017153	0.0542319	0.0114862	0.0187216	0.00956025	0.00149038	0.033742	0.0958433	0.0331836	0.0345843	0.00298122	0.0232636	0.0210268	0.00971034	0.0450776	0.0180861	0.00237663	0.000415581	0.0178031	0.0272792	0.0536662	0.0192942	0.125583	0.459142	0.990002	2.42527	0.010848	0.00138093	0.00409819	0.0143761	0.00614422	0.00900902	0.0149947	0.00530084	0.0237865	0.0195909	0.00485521	0.0104809	0.0257965	0.0390938	0.00100472	0.000655686	0.00472523	0.00495851	0.00285985	0.00347745	0.00989105	0.00252248	0.0158979	0.00150347	0.0218137	0.00890385	0.00713673	0.010322	0.0109233	0.00268044	0.0102205	0.000437607	0.011549	0.0150756	0.00618383	0.00329151	0.00431134	0.00956644	0.00045402	0.0100556	0.00210534	0.034922	0.0460115	0.0422131	0.0727049	0.000173518	0.0342637	0.0197684	0.00363602	0.00437649	0.000992863	0.020979	0.00390353	0.00435808	0.0054323	0.0103975	0.0328733	0.00696251	0.0113483	0.00579507	0.000903412	0.0204532	0.0580966	0.0201146	0.0209637	0.0018071	0.0141015	0.0127457	0.00588604	0.0273243	0.0109631	0.00144062	0.00025191	0.0107916	0.0165356	0.0325304	0.0116954	1.649722
20	-901.8508	-1032.696	130.8456	1.176504	0.8499762	0.0276923	0.00198301	0.00663729	0.00389288	0.0083847	0.00766066	0.0178971	0.0623346	0.0385238	0.0104658	0.0110798	0.0169746	0.0314964	0.0639147	0.000683409	0.00135067	0.00847047	0.00367028	0.00501886	0.00747085	0.0160192	0.00561155	0.0114404	0.0005458	0.0272426	0.0279787	0.0031026	0.0167171	0.0214907	0.00459939	0.0140932	0.0216011	0.0281664	0.0139834	0.00293497	0.00639362	0.00765587	0.00797308	0.00453891	0.00729073	0.00925952	0.0180203	0.0511973	0.0594065	0.153515	0.00796178	0.0612904	0.0332267	0.0130249	0.00206491	0.010854	0.0339768	0.00818031	0.0040831	0.00628466	0.0130417	0.0532406	0.0101423	0.0195264	0.0312072	0.00511144	0.0157116	0.0946428	0.0297436	0.0345098	0.00347884	0.0206694	0.0382603	0.00923129	0.0457253	0.00610395	0.00201533	0.000612944	0.0110218	0.0267805	0.0526852	0.0224271	0.10614	0.426503	0.969896	2.49746	0.0172729	0.00123689	0.00413998	0.00242817	0.00522992	0.0047783	0.0111632	0.038881	0.0240291	0.00652799	0.00691101	0.0105878	0.0196458	0.0398665	0.000426273	0.000842473	0.00528342	0.00228932	0.00313049	0.00465991	0.00999193	0.00350018	0.00713589	0.00034044	0.0169925	0.0174516	0.00193523	0.0104272	0.0134047	0.00286885	0.00879055	0.0134736	0.0175687	0.00872206	0.00183067	0.003988	0.00477532	0.00497317	0.00283113	0.00454756	0.00577559	0.0112401	0.0319341	0.0370546	0.0957543	0.00496613	0.0382296	0.020725	0.0081242	0.00128798	0.00677013	0.0211929	0.00510244	0.00254682	0.00392003	0.00813474	0.0332086	0.00632624	0.0121795	0.0194653	0.00318824	0.00980007	0.059033	0.0185524	0.0215254	0.00216991	0.0128925	0.0238647	0.00575798	0.028521	0.00380731	0.00125705	0.000382321	0.00687478	0.0167043	0.0328622	0.0139888	1.603217
30	-903.7415	-1034.493	130.7511	1.093558	0.9144459	0.028271	0.0113636	0.0159998	0.00137178	0.0297819	0.0060558	0.0819037	0.0673302	0.00503728	0.00517226	0.0232296	0.0387091	0.0284598	0.0529308	0.00326366	0.0056822	0.0217959	0.0110308	0.00542108	0.00758497	0.00706449	0.00761598	0.022074	0.00102986	0.0183595	0.0238746	0.0133149	0.00513709	0.023213	0.0110558	0.00317222	0.0274638	0.0124735	0.00926386	0.0156507	0.00384049	0.00397369	0.0047008	0.00602033	0.0253868	0.00245432	0.0253134	0.0553004	0.0641675	0.165818	0.00859985	0.0898892	0.0213297	0.010869	0.00744015	0.0137443	0.0471895	0.0192364	0.00526967	0.00190489	0.0263491	0.0444675	0.0109552	0.0218076	0.036042	0.0112085	0.0272202	0.0996805	0.0220641	0.0205795	0.00397376	0.0328623	0.0217461	0.00997111	0.0537638	0.00842556	0.0203444	0.00051884	0.0228518	0.0322846	0.00934361	0.0105817	0.119583	0.449435	0.984239	2.44674	0.0158768	0.00638171	0.00898539	0.000770383	0.0167253	0.00340089	0.0459965	0.0378122	0.0028289	0.0029047	0.0130456	0.0217388	0.0159828	0.0297256	0.00183285	0.00319109	0.0122404	0.0061948	0.00304444	0.00425966	0.00396737	0.00427708	0.0123966	0.000578361	0.0103106	0.0134078	0.00747758	0.00288496	0.0130363	0.00620884	0.0017815	0.0154235	0.00700504	0.00520252	0.0087893	0.00215679	0.0022316	0.00263994	0.00338098	0.014257	0.00137833	0.0142159	0.0310563	0.036036	0.0931222	0.00482962	0.0504811	0.0119786	0.00610395	0.00417833	0.00771871	0.0265013	0.010803	0.00295941	0.00106977	0.0147975	0.0249726	0.00615235	0.012247	0.0202409	0.00629464	0.0152867	0.0559799	0.012391	0.0115573	0.00223163	0.0184552	0.0122124	0.0055997	0.0301934	0.00473174	0.0114253	0.000291377	0.0128334	0.0181308	0.00524731	0.0059426	1.780648
40	-914.6378	-1045.774	131.1366	1.02644	0.9742411	0.0231424	0.00354976	0.0252279	0.00165684	0.0128742	0.00570462	0.0670456	0.0862312	0.00823201	0.0242967	0.02212	0.0194023	0.0232969	0.0100146	0.00413803	0.00366623	0.00942876	0.00490925	0.00244838	0.00778615	0.00578293	0.0181123	0.029934	0.00134021	0.0182544	0.0195436	0.0131479	0.00752846	0.0190019	0.00859084	0.00722642	0.0178157	0.0137187	0.0158982	0.0128115	0.0014909	0.00325283	0.0053502	0.00235911	0.0105602	0.00159034	0.0207213	0.0452684	0.0525269	0.126561	0.00703976	0.0735824	0.0174603	0.00576825	0.0105904	0.0113543	0.0366598	0.00692421	0.000830563	0.00197512	0.0211919	0.0347078	0.0089678	0.0154421	0.0295036	0.00285565	0.00237715	0.106437	0.0551568	0.0100907	0.00359378	0.0114083	0.0386008	0.00283086	0.028677	0.017031	0.0165613	0.000457969	0.0201784	0.0108469	0.00322303	0.00637079	0.131786	0.46887	0.995597	2.40375	0.0158265	0.00242759	0.0172527	0.00113307	0.00880437	0.00390125	0.0458508	0.0589713	0.00562967	0.0166159	0.0151273	0.0132688	0.0159322	0.00684876	0.0028299	0.00250724	0.00644809	0.00335731	0.00167439	0.00532475	0.0039548	0.0123866	0.0204711	0.000916534	0.0124838	0.0133654	0.00899155	0.00514852	0.012995	0.00587506	0.00494197	0.0121837	0.00938189	0.0108723	0.00876145	0.00101959	0.00222453	0.00365887	0.00161333	0.00722183	0.00108759	0.0141708	0.0309579	0.0359218	0.0865517	0.00481432	0.0503212	0.0119407	0.00394476	0.0072425	0.00776494	0.0250707	0.00473529	0.000568001	0.00135074	0.0144926	0.0237358	0.00613285	0.0105605	0.0201768	0.00195291	0.00162567	0.0727898	0.0377203	0.00690077	0.0024577	0.00780182	0.0263981	0.00193595	0.0196115	0.0116471	0.0113258	0.000313194	0.0137995	0.00741791	0.00220415	0.00435683	1.462256
50	-898.8745	-1029.163	130.2883	1.726484	0.5792117	0.0123377	0.00142727	0.0277629	0.0353348	0.00188233	0.0126469	0.0692743	0.0351264	0.00404008	0.0302658	0.0301406	0.0226315	0.0234586	0.0356844	0.00443415	0.00886598	0.00353206	0.00398676	0.00158267	0.00825335	0.0149082	0.0199323	0.0198602	0.00190305	0.0278375	0.0221947	0.0113064	0.0119455	0.00581386	0.00123261	0.0129116	0.00820617	0.00492888	0.0299345	0.00886967	0.00231087	0.000297125	0.00424493	0.00215844	0.012322	0.00274325	0.0799483	0.0532001	0.0432527	0.139278	0.00226112	0.0598005	0.0441771	0.0115046	0.00467817	0.0210068	0.0403435	0.00620786	0.000942373	0.00200145	0.00605247	0.0381953	0.00910557	0.0160158	0.0215465	0.0031426	0.0359557	0.112339	0.0479254	0.00628297	0.00205254	0.0329202	0.0271456	0.00885888	0.0158976	0.0137124	0.017506	0.00157887	0.0259689	0.0289507	0.00964029	0.0225351	0.0488507	0.300517	0.870331	2.7803	0.007661	0.00088625	0.0172391	0.0219408	0.00116881	0.00785299	0.0430152	0.0218114	0.00250865	0.0187933	0.0187155	0.0140528	0.0145664	0.0221579	0.00275334	0.00550525	0.0021932	0.00247554	0.000982742	0.00512484	0.00925707	0.0123768	0.012332	0.00118168	0.0172854	0.0137816	0.00702058	0.00741747	0.00361006	0.000765379	0.00801731	0.00509554	0.00306054	0.0185875	0.00550754	0.00143491	0.000184497	0.00263585	0.00134026	0.00765123	0.00170339	0.0496431	0.033034	0.0268574	0.0864833	0.00140402	0.0371325	0.0274313	0.00714365	0.00290486	0.0130439	0.0250509	0.00385471	0.000585157	0.00124278	0.00375822	0.023717	0.00565402	0.00994486	0.0133791	0.00195136	0.0223263	0.069756	0.0297588	0.00390135	0.0012745	0.0204414	0.0168558	0.00550083	0.00987147	0.00851461	0.0108702	0.000980385	0.0161251	0.0179767	0.00598604	0.0139929	1.610461
60	-898.6826	-1028.74	130.0569	1.547293	0.6462901	0.0211012	0.00139426	0.0118192	0.0149755	0.00727479	0.00909006	0.0364603	0.021508	0.00037835	0.0173434	0.0310714	0.0384504	0.0332847	0.0676762	0.00539141	0.00966332	0.00444063	0.00242627	0.00385047	0.001454	0.0149872	0.0160727	0.00794105	0.00230677	0.0405344	0.0126084	0.0154398	0.00361391	0.0172904	0.00600024	0.0180534	0.0108532	0.0399125	0.0230624	0.00412388	0.00187229	0.000557468	0.00993043	0.00407981	0.00862792	0.00128352	0.201441	0.0599918	0.0590651	0.14628	0.00641606	0.0816623	0.070206	0.0267316	0.00638841	0.0451189	0.0550922	0.0111531	0.00282564	0.0074475	0.0486078	0.0102353	0.0124344	0.0218709	0.0294235	0.003919	0.0452234	0.153408	0.031497	0.0085799	0.00233055	0.0858956	0.0565323	0.0100891	0.00851417	0.0187254	0.0239058	0.00215608	0.00545438	0.0228008	0.0237863	0.0176529	0.0627745	0.337047	0.903215	2.69696	0.0104406	0.000689864	0.00584799	0.0074097	0.00359948	0.00449765	0.0180401	0.0106419	0.000187203	0.00858132	0.0153737	0.0190248	0.0164689	0.0334854	0.00266761	0.00478129	0.00219717	0.00120049	0.00190516	0.000719421	0.0074155	0.00795259	0.00392913	0.00114136	0.0200559	0.00623847	0.0076394	0.00178812	0.00855507	0.00296885	0.00893262	0.00537003	0.0197482	0.011411	0.00204044	0.000926385	0.000275829	0.00491345	0.00201864	0.00426899	0.000635071	0.0996706	0.0296832	0.0292247	0.0723775	0.00317459	0.0404055	0.0347371	0.0132265	0.00316091	0.0223243	0.027259	0.00551844	0.00139809	0.00368493	0.0240506	0.00506428	0.00615238	0.0108214	0.0145584	0.00193908	0.022376	0.0759045	0.0155843	0.00424523	0.00115313	0.0425001	0.0279715	0.00499198	0.00421271	0.00926512	0.0118283	0.0010668	0.00269876	0.0112816	0.0117692	0.00873444	2.021068
70	-906.1056	-1036.458	130.3519	1.312888	0.7616794	0.0356882	0.00203341	0.0038269	0.00673217	0.00726416	0.00660662	0.0100143	0.0544794	0.00551528	0.0194674	0.0135041	0.0402263	0.0319508	0.0377449	0.00159063	0.00700607	0.00171471	0.00348512	0.00407204	0.00759132	0.0161499	0.0144086	0.00356059	0.00157148	0.0392822	0.0238337	0.00944052	0.00367329	0.00915982	0.00627736	0.0669505	0.00302432	0.0403257	0.0241275	0.00126854	0.00791971	0.000678416	0.00748495	0.0130229	0.00579998	0.00561858	0.147352	0.0427019	0.0977477	0.113018	0.00693162	0.123424	0.0734485	0.0175158	0.0176823	0.0192141	0.0283087	0.0214948	0.00576671	0.00743395	0.0508528	0.00891826	0.0128716	0.0222199	0.0460436	0.00877476	0.00351116	0.140342	0.0407635	0.0164256	0.00332155	0.0786583	0.0431347	0.0156832	0.0276451	0.0397227	0.0250099	0.0044944	0.00660211	0.0136414	0.0230363	0.00264888	0.0873826	0.391236	0.945744	2.57564	0.018204	0.00103721	0.00195205	0.00343398	0.00370535	0.00336994	0.00510817	0.0277892	0.00281327	0.00993007	0.00688827	0.0205188	0.0162976	0.0192531	0.00081136	0.0035737	0.000874649	0.00177771	0.00207709	0.00387222	0.00823784	0.00734964	0.00181621	0.000801589	0.0200373	0.0121572	0.00481548	0.00187369	0.00467229	0.00320199	0.0341505	0.00154266	0.0205696	0.0123071	0.000647065	0.00403973	0.00034605	0.00381797	0.00664278	0.00295849	0.00286596	0.0751623	0.0217816	0.0498597	0.0576491	0.00353572	0.062957	0.037465	0.00893458	0.00901949	0.00980081	0.0144399	0.0109642	0.00294152	0.00379195	0.0259393	0.00454908	0.00656559	0.011334	0.0234862	0.00447588	0.00179099	0.0715863	0.0207929	0.00837849	0.00169427	0.0401225	0.0220024	0.00799976	0.0141014	0.020262	0.0127572	0.00229253	0.00336764	0.00695827	0.0117505	0.00135115	1.960455
80	-922.7607	-1053.524	130.7638	0.8444174	1.184249	0.0391384	0.00162795	0.00249991	0.00367549	0.00663369	0.00252426	0.0101661	0.048773	0.0388671	0.0309828	0.0087116	0.040836	0.0194478	0.00885557	0.0141684	0.0101673	0.000431461	0.00245021	0.00309275	0.0133043	0.0163947	0.0103124	0.0325138	0.0115207	0.0258839	0.0109326	0.00958361	0.00555697	0.000584946	0.00494745	0.0679653	0.0015098	0.0284392	0.0280922	0.00789769	0.0494013	0.000320391	0.016981	0.0102727	0.0162953	0.00195349	0.156116	0.0211605	0.0887534	0.189533	0.00674632	0.0634221	0.0745617	0.0218443	0.0179503	0.0195053	0.0287378	0.00969343	0.0177814	0.00857744	0.0474891	0.0627649	0.0166547	0.0167393	0.0156934	0.00912707	0.00447955	0.104468	0.0531953	0.015579	0.0106351	0.0734291	0.0129663	0.00977317	0.0505855	0.0262384	0.0379936	0.00927506	0.0132847	0.0136981	0.0157952	0.00909771	0.172187	0.5259	1.02489	2.27702	0.0194037	0.00080709	0.00123938	0.0018222	0.00328879	0.00125145	0.00504007	0.0241803	0.0192692	0.0153604	0.00431896	0.0202453	0.00964165	0.00439034	0.00702427	0.00504067	0.000213906	0.00121474	0.0015333	0.00659588	0.00812802	0.00511259	0.0161194	0.00571164	0.0128325	0.00542008	0.00475128	0.00275499	0.000289999	0.00245281	0.0336952	0.000748514	0.0140993	0.0139273	0.00391545	0.0244917	0.000158841	0.0084187	0.00509291	0.00807876	0.000968482	0.077398	0.0104908	0.0440014	0.0939648	0.00334463	0.0314428	0.0369655	0.0108298	0.00889925	0.00967016	0.0142474	0.00480573	0.00881549	0.00425245	0.0235438	0.031117	0.00825694	0.00829884	0.00778032	0.00452494	0.00222083	0.0517924	0.0263727	0.00772362	0.0052726	0.0364041	0.00642832	0.00484526	0.0250788	0.0130083	0.0188362	0.00459831	0.00658618	0.00679113	0.00783081	0.00451038	2.017059
90	-897.632	-1028.629	130.9967	1.021957	0.9785146	0.031834	0.00185849	0.00137213	0.00154489	0.0129637	0.0034726	0.00766627	0.0367797	0.0106137	0.0233641	0.00421255	0.0372989	0.0166211	0.0259018	0.00713419	0.00766717	0.000243148	0.0100998	0.0202117	0.0100328	0.0124935	0.00587097	0.0258354	0.00334489	0.019519	0.0126102	0.0136298	0.0040821	0.000374294	0.00373087	0.0100382	0.000457731	0.021446	0.021027	0.00684735	0.0380018	0.000662456	0.0161368	0.00557893	0.0194653	0.00638258	0.0706367	0.0399937	0.0669289	0.142926	0.00604598	0.0478265	0.0536959	0.0164728	0.0135363	0.012657	0.0324571	0.00937662	0.00358567	0.00256146	0.023228	0.047331	0.00288222	0.0104286	0.0174991	0.00375997	0.00997676	0.107502	0.0228246	0.0200567	0.00801995	0.0730892	0.015437	0.0114237	0.0595426	0.0160773	0.037748	0.0101184	0.0223864	0.0105473	0.0208759	0.018781	0.132647	0.470197	0.996347	2.40081	0.0198137	0.00115674	0.000854025	0.000961549	0.00806871	0.00216137	0.00477154	0.022892	0.00660602	0.014542	0.00262192	0.0232151	0.0103451	0.0161215	0.00444037	0.00477211	0.000151337	0.00628618	0.0125799	0.00624446	0.00777606	0.00365413	0.0160801	0.00208188	0.0121488	0.00784871	0.00848332	0.00254073	0.000232963	0.00232212	0.00624785	0.000284895	0.0133481	0.0130874	0.00426184	0.0236526	0.000412317	0.0100437	0.00347237	0.0121154	0.00397257	0.0439648	0.0248924	0.041657	0.0889584	0.00376306	0.0297676	0.0334207	0.0102528	0.0084251	0.0078778	0.0202015	0.00583608	0.00223175	0.00159427	0.0144573	0.0294592	0.00179391	0.00649085	0.0108916	0.00234023	0.00620961	0.0669101	0.0142062	0.0124835	0.00499168	0.0454913	0.00960807	0.00711022	0.0370598	0.0100066	0.0234946	0.00629774	0.0139334	0.0065647	0.0129933	0.0116895	1.606665
