Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_inv	alpha_morpho	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	relative_bl[1]	relative_bl[2]	relative_bl[3]	relative_bl[4]	relative_bl[5]	relative_bl[6]	relative_bl[7]	relative_bl[8]	relative_bl[9]	relative_bl[10]	relative_bl[11]	relative_bl[12]	relative_bl[13]	relative_bl[14]	relative_bl[15]	relative_bl[16]	relative_bl[17]	relative_bl[18]	relative_bl[19]	relative_bl[20]	relative_bl[21]	relative_bl[22]	relative_bl[23]	relative_bl[24]	relative_bl[25]	relative_bl[26]	relative_bl[27]	tree_length
10	0	-989.7451	-1019.785	30.04027	0.1542007	6.485054	0.624572	0.20938	0.0956557	0.320908	0.0591633	0.20856	0.146242	0.0574279	0.175607	0.039293	0.314487	0.409681	0.300421	0.063055	0.10953	0.41959	0.0985532	0.129176	0.165534	0.0648961	0.141059	0.0865692	0.0646581	0.00219465	0.0097648	0.127401	0.144104	0.554085	0.832634	1.08015	1.53313	0.136147	0.0456416	0.0208515	0.0699529	0.0128967	0.0454629	0.0318785	0.0125184	0.0382796	0.00856527	0.0685532	0.089304	0.065487	0.013745	0.0238759	0.0914642	0.0214831	0.0281583	0.0360839	0.0141463	0.0307487	0.0188707	0.0140945	0.000478401	0.00212857	0.0277714	0.0314125	4.587484
11	1	-985.6299	-1015.878	30.24829	0.01243814	80.39785	0.436036	0.0471373	0.173137	0.4318	0.0264124	0.314072	0.05603	0.0716334	0.245582	0.046547	0.265971	0.138373	0.230581	0.132664	0.241627	0.0403039	0.0933363	0.0770567	0.355957	0.0310571	0.145958	0.115858	0.351393	0.130459	0.152703	0.0037475	0.165791	0.862012	0.960325	1.03257	1.14509	0.0964421	0.0104258	0.0382943	0.095505	0.00584187	0.0694662	0.0123927	0.0158438	0.0543177	0.0102952	0.0588272	0.0306053	0.0509997	0.0293425	0.0534428	0.00891437	0.020644	0.0170433	0.0787301	0.00686918	0.0322829	0.0256254	0.0777209	0.0288548	0.0337746	0.000828869	0.0366695	4.521225
12	0	-991.6807	-1021.74	30.05917	0.2559618	3.906833	0.688726	0.208956	0.0618793	0.280301	0.0674293	0.20493	0.070237	0.0557772	0.24474	0.0279038	0.372352	0.276957	0.24749	0.24745	0.0723766	0.345663	0.0938141	0.0817878	0.136369	0.035722	0.158098	0.142617	0.00366435	0.000555885	0.127404	0.0974602	0.116159	0.44917	0.771924	1.0844	1.6945	0.154187	0.0467796	0.0138531	0.0627519	0.0150956	0.0458782	0.0157242	0.012487	0.0547906	0.0062469	0.0833595	0.0620032	0.0554063	0.0553973	0.0162032	0.0773847	0.0210024	0.0183101	0.0305293	0.00799719	0.0353938	0.0319282	0.00082035	0.000124448	0.0285222	0.0218187	0.0260048	4.466818
13	1	-982.5658	-1012.198	29.63167	0.01012518	98.76369	0.846979	0.23093	0.135062	0.563083	0.0764741	0.345105	0.127246	0.0745635	0.269848	0.112673	0.342309	0.0992171	0.253364	0.086929	0.204912	0.0545169	0.174478	0.162666	0.115371	0.0537284	0.0702281	0.044403	0.144372	0.114954	0.233233	0.0213377	0.182172	0.875151	0.964502	1.02971	1.13063	0.164777	0.0449266	0.0262759	0.109546	0.0148778	0.067139	0.0247552	0.0145061	0.052498	0.0219201	0.0665951	0.0193023	0.0492912	0.0169117	0.0398649	0.0106061	0.0339441	0.0316461	0.0224451	0.0104527	0.0136627	0.00863846	0.0280871	0.022364	0.0453747	0.00415118	0.035441	5.140156
14	0	-989.5205	-1019.9	30.37964	0.1610992	6.207357	0.665429	0.18619	0.241665	0.370499	0.0424722	0.130957	0.0777129	0.0370128	0.185192	0.0771123	0.364633	0.247396	0.148869	0.282168	0.0712128	0.207641	0.0254236	0.130943	0.163436	0.0195683	0.101518	0.0997539	0.00725688	0.000281807	0.123094	0.121552	0.112229	0.545618	0.82814	1.08079	1.54545	0.156896	0.0439002	0.0569801	0.0873566	0.0100142	0.0308772	0.0183232	0.00872692	0.0436648	0.0181817	0.0859737	0.0583314	0.0351005	0.0665299	0.0167906	0.0489579	0.00599441	0.0308739	0.0385352	0.00461383	0.0239361	0.0235201	0.00171104	6.64449e-05	0.0290233	0.0286596	0.0264616	4.241218
15	1	-988.2044	-1017.89	29.68511	0.02097119	47.68447	0.857229	0.236229	0.0731097	0.520899	0.151616	0.100895	0.0924091	0.0439217	0.273113	0.114482	0.346452	0.20658	0.103593	0.29147	0.0982445	0.172975	0.191108	0.18639	0.179334	0.164652	0.0519717	0.0683855	0.21289	0.12382	0.0333376	0.0303615	0.150403	0.822397	0.947185	1.04084	1.18957	0.168883	0.0465396	0.0144034	0.102623	0.0298699	0.0198773	0.0182056	0.00865304	0.0538062	0.0225542	0.0682546	0.0406983	0.0204089	0.0574227	0.0193552	0.034078	0.0376502	0.0367208	0.0353307	0.0324383	0.010239	0.0134727	0.0419415	0.0243939	0.00656786	0.00598153	0.029631	5.075871
16	0	-987.2356	-1017.841	30.60561	0.1060878	9.426151	0.353663	0.184959	0.132357	0.243579	0.0520004	0.170226	0.119177	0.0506544	0.117644	0.171913	0.289542	0.208431	0.123008	0.340626	0.178918	0.223381	0.0874173	0.178585	0.135243	0.0286864	0.208511	0.0680134	0.0304125	0.000952052	0.0618189	0.141657	0.168874	0.621598	0.866275	1.07352	1.43861	0.0868898	0.0454418	0.0325181	0.0598438	0.0127757	0.041822	0.02928	0.012445	0.0289033	0.0422366	0.0711362	0.0512085	0.0302213	0.0836866	0.0439575	0.0548813	0.0214771	0.0438757	0.0332272	0.00704781	0.0512281	0.0167099	0.0074719	0.000233905	0.015188	0.0348031	0.0414897	4.070251
17	1	-984.6005	-1014.668	30.06721	0.1324025	7.552725	0.465642	0.0909246	0.125082	0.477628	0.0625752	0.167632	0.136297	0.0388383	0.165697	0.0812221	0.683121	0.0369155	0.163959	0.124461	0.195663	0.0906034	0.135586	0.207361	0.135466	0.116817	0.130586	0.038389	0.21519	0.185965	0.0667012	0.128226	0.115789	0.582648	0.847329	1.07767	1.49235	0.101617	0.0198424	0.0272965	0.104232	0.0136557	0.0365822	0.029744	0.00847565	0.0361599	0.017725	0.149077	0.00805605	0.0357807	0.0271611	0.0426995	0.0197723	0.0295888	0.0452521	0.0295626	0.0254928	0.0284978	0.00837759	0.0469607	0.040583	0.0145562	0.0279826	0.0252685	4.582336
18	0	-988.9733	-1019.248	30.27447	0.1884552	5.306301	0.449574	0.139104	0.14972	0.368998	0.0525524	0.15514	0.150686	0.0494105	0.29668	0.131704	0.319901	0.213988	0.129027	0.304828	0.0689689	0.34928	0.0913798	0.00831755	0.125337	0.0855088	0.142829	0.106394	0.0502184	0.000621426	0.0385174	0.129103	0.211236	0.514322	0.810948	1.08273	1.592	0.104092	0.0322073	0.0346652	0.0854356	0.0121677	0.0359201	0.0348889	0.0114402	0.0686915	0.0304939	0.0740679	0.0495455	0.0298741	0.0705779	0.0159686	0.0808702	0.0211575	0.00192579	0.0290198	0.0197982	0.0330697	0.0246338	0.0116272	0.000143881	0.00891808	0.0298917	0.0489082	4.319025
19	1	-983.8499	-1013.675	29.82479	0.01384461	72.23026	0.514069	0.197855	0.156708	0.597426	0.0537682	0.244681	0.190762	0.0220178	0.283183	0.119798	0.325639	0.0812488	0.267312	0.155679	0.167795	0.0772448	0.130729	0.259371	0.144622	0.169147	0.0573866	0.151273	0.150109	0.232609	0.131002	0.016525	0.0453632	0.854652	0.957946	1.03415	1.15325	0.103993	0.0400248	0.031701	0.120855	0.0108769	0.0494973	0.0385899	0.00445406	0.057286	0.0242343	0.0658745	0.0164361	0.0540755	0.0314927	0.0339438	0.0156261	0.0264455	0.0524689	0.0292561	0.0342172	0.0116089	0.0306014	0.030366	0.0470551	0.0265008	0.0033429	0.00917665	4.943323
20	0	-986.1733	-1016.656	30.48276	0.1533149	6.522524	0.415228	0.144398	0.175894	0.373053	0.0954823	0.143288	0.138126	0.0456358	0.274015	0.11804	0.404725	0.19764	0.0958298	0.28154	0.0661833	0.261281	0.0755306	0.0278241	0.0989952	0.0923394	0.124217	0.0416695	0.0458645	0.0224466	0.0489073	0.142626	0.195098	0.555191	0.833217	1.08007	1.53153	0.100155	0.0348292	0.0424262	0.0899818	0.0230307	0.0345615	0.0333164	0.0110075	0.0660934	0.0284717	0.097621	0.0476716	0.0231145	0.0679085	0.0159636	0.0630218	0.0182182	0.00671126	0.023878	0.0222726	0.0299615	0.0100508	0.0110627	0.0054142	0.0117966	0.0344019	0.0470583	4.145877
21	1	-985.7681	-1015.844	30.07591	0.03678053	27.1883	0.642142	0.248152	0.125711	0.543883	0.0281787	0.193173	0.204088	0.0203558	0.248438	0.103367	0.198062	0.0751991	0.163556	0.240875	0.219987	0.0316815	0.177659	0.122006	0.142429	0.113664	0.0980133	0.0583034	0.246733	0.14979	0.233428	0.0181351	0.0222545	0.76784	0.927681	1.05135	1.25313	0.137525	0.0531459	0.0269231	0.116481	0.00603493	0.0413713	0.0437088	0.00435954	0.0532071	0.0221377	0.0424182	0.0161051	0.0350282	0.0515873	0.0471139	0.00678512	0.0380486	0.0261296	0.0305034	0.024343	0.0209912	0.0124866	0.0528419	0.0320799	0.0499925	0.00388393	0.00476618	4.669261
22	0	-983.6542	-1013.604	29.94999	0.07992239	12.51214	0.559095	0.350966	0.215477	0.360672	0.0540102	0.13786	0.185898	0.00472211	0.225096	0.100951	0.352134	0.320104	0.22376	0.0907378	0.140863	0.365614	0.0825916	0.0774855	0.103943	0.07176	0.16723	0.0787215	0.0411429	0.0929705	0.0766256	0.133764	0.137847	0.666979	0.886884	1.06768	1.37846	0.117654	0.0738559	0.0453442	0.0758984	0.0113657	0.0290107	0.0391197	0.000993701	0.0473682	0.0212436	0.0741016	0.0673614	0.0470872	0.0190945	0.0296425	0.0769383	0.0173802	0.0163057	0.0218734	0.0151009	0.0351912	0.0165658	0.00865794	0.0195643	0.0161248	0.0281486	0.029008	4.752044
23	1	-985.9041	-1016.179	30.27536	0.04856314	20.59175	0.58125	0.425569	0.0357925	0.238256	0.0314493	0.284769	0.199508	0.0331165	0.266435	0.122842	0.274909	0.114439	0.176481	0.163161	0.0917966	0.0435255	0.0655973	0.279903	0.101618	0.187964	0.0893895	0.0840443	0.173739	0.130861	0.22819	0.012904	0.0205198	0.735433	0.915276	1.05706	1.29224	0.130383	0.0954614	0.00802878	0.0534441	0.00705453	0.0638778	0.0447525	0.0074285	0.0597652	0.0275552	0.061666	0.0256704	0.0395872	0.0365993	0.0205913	0.0097634	0.0147144	0.0627863	0.0227945	0.042163	0.0200513	0.0188523	0.0389721	0.0293539	0.0511863	0.00289456	0.0046029	4.458028
24	0	-986.2849	-1015.797	29.51225	0.08876184	11.2661	0.636534	0.371397	0.032698	0.410628	0.0944796	0.105164	0.189756	0.00627442	0.364406	0.0648144	0.324057	0.365085	0.16919	0.147455	0.160373	0.391711	0.0940311	0.103216	0.232678	0.0934981	0.190393	0.108985	0.027929	0.133462	0.127625	0.152291	0.0828103	0.650738	0.879681	1.06988	1.3997	0.122861	0.0716853	0.00631121	0.0792574	0.018236	0.0202982	0.0366257	0.00121106	0.0703358	0.0125102	0.0625478	0.0704669	0.0326562	0.0284611	0.0309544	0.0756061	0.0181494	0.0199222	0.0449104	0.0180466	0.0367487	0.0210357	0.00539073	0.0257603	0.0246336	0.0293944	0.0159836	5.180938
25	1	-985.1704	-1015.049	29.87828	0.138446	7.223032	0.590176	0.162719	0.133757	0.282551	0.0385597	0.337712	0.217954	0.0392733	0.17665	0.195459	0.360123	0.102327	0.11848	0.193495	0.185221	0.0880468	0.0623314	0.210466	0.146509	0.167827	0.105794	0.130912	0.109026	0.139107	0.270614	0.115626	0.0845115	0.574432	0.843174	1.07843	1.50396	0.123851	0.0341472	0.0280694	0.0592944	0.0080919	0.0708701	0.0457385	0.00824165	0.0370706	0.0410178	0.0755732	0.0214736	0.0248634	0.0406055	0.0388692	0.0184769	0.0130805	0.044167	0.0307455	0.0352192	0.0222012	0.0274723	0.0228796	0.029192	0.0567893	0.0242645	0.017735	4.765227
26	0	-981.2196	-1010.913	29.69324	0.1913618	5.225704	0.479248	0.35365	0.171928	0.385527	0.0666903	0.166983	0.201493	0.012431	0.352772	0.120078	0.421817	0.0732617	0.268594	0.194619	0.108904	0.202434	0.204545	0.0458632	0.185121	0.0735544	0.111692	0.0683031	0.0919673	0.13899	0.0443414	0.169748	0.182793	0.51119	0.809175	1.08289	1.59675	0.0978586	0.0722126	0.0351063	0.0787217	0.0136176	0.0340966	0.0411432	0.00253831	0.0720332	0.0245189	0.0861317	0.0149595	0.0548447	0.0397397	0.0222374	0.0413354	0.0417664	0.00936491	0.0378003	0.0150192	0.0228065	0.013947	0.018779	0.0283808	0.00905416	0.0346613	0.0373249	4.897348
27	1	-988.1807	-1018.111	29.9299	0.2760745	3.622211	0.659834	0.104912	0.202533	0.226284	0.163444	0.0968493	0.160642	0.0132034	0.366664	0.0295789	0.531795	0.0652245	0.0873251	0.138863	0.195417	0.0758274	0.0523736	0.147455	0.174975	0.167846	0.0827521	0.128293	0.23596	0.145187	0.199455	0.0852218	0.0380574	0.432322	0.76104	1.08424	1.7224	0.144195	0.0229267	0.0442601	0.0494505	0.0357179	0.0211647	0.0351056	0.00288537	0.0801281	0.00646396	0.116215	0.0142537	0.0190834	0.0303461	0.042705	0.0165708	0.0114453	0.0322237	0.0382377	0.0366799	0.018084	0.0280362	0.0515651	0.0317281	0.0435875	0.0186237	0.00831679	4.575974
