Iteration	Posterior	Likelihood	Prior	alpha_inv	alpha_morpho	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	relative_bl[1]	relative_bl[2]	relative_bl[3]	relative_bl[4]	relative_bl[5]	relative_bl[6]	relative_bl[7]	relative_bl[8]	relative_bl[9]	relative_bl[10]	relative_bl[11]	relative_bl[12]	relative_bl[13]	relative_bl[14]	relative_bl[15]	relative_bl[16]	relative_bl[17]	relative_bl[18]	relative_bl[19]	relative_bl[20]	relative_bl[21]	relative_bl[22]	relative_bl[23]	relative_bl[24]	relative_bl[25]	relative_bl[26]	relative_bl[27]	tree_length
0	-989.4987	-1020.44	30.94135	0.04266034	23.44097	0.362028	0.258086	0.184925	0.190083	0.147208	0.189617	0.125343	0.075494	0.112235	0.0287837	0.256782	0.204966	0.065497	0.250357	0.139737	0.139123	0.0647206	0.057014	0.197872	0.0824248	0.0506947	0.0482656	0.175319	0.15827	0.114712	0.0352585	0.0831288	0.751029	0.921325	1.05436	1.27329	0.095322	0.0679541	0.0486909	0.0500488	0.0387598	0.0499262	0.0330028	0.0198776	0.0295514	0.00757875	0.0676109	0.0539676	0.0172454	0.0659191	0.0367929	0.0366312	0.017041	0.0150118	0.0520998	0.0217025	0.0133479	0.0127083	0.0461615	0.0416725	0.0302037	0.00928356	0.0218878	3.797945
10	-991.1266	-1021.424	30.29764	0.08366288	11.95273	0.6287	0.074798	0.069906	0.406746	0.103093	0.237411	0.0991226	0.0906408	0.11514	0.0028386	0.413113	0.291095	0.3281	0.189746	0.0977167	0.0718493	0.0777059	0.0678366	0.11421	0.0947711	0.123363	0.0351431	0.181729	0.214086	0.0927615	0.031302	0.147723	0.659979	0.883802	1.06864	1.38758	0.142865	0.0169971	0.0158854	0.0924286	0.0234267	0.0539491	0.0225245	0.0205972	0.0261644	0.000645042	0.0938755	0.0661483	0.0745572	0.0431178	0.0222051	0.016327	0.0176578	0.0154151	0.025953	0.0215357	0.028033	0.00798589	0.041296	0.0486487	0.0210791	0.00711305	0.0335684	4.400647
20	-987.6409	-1018.097	30.45578	0.07326313	13.64943	0.375681	0.142481	0.0968487	0.293229	0.126246	0.206316	0.118546	0.059585	0.256665	0.0928345	0.38198	0.0739213	0.321649	0.189277	0.0770455	0.0598314	0.0471241	0.101218	0.261776	0.0665895	0.138522	0.0637783	0.287796	0.0427065	0.123788	0.0289431	0.218532	0.679952	0.892504	1.06582	1.36172	0.0883351	0.033502	0.0227723	0.0689479	0.0296846	0.0485118	0.027874	0.0140104	0.0603503	0.0218285	0.0898162	0.0173813	0.0756304	0.0445053	0.0181159	0.0140683	0.0110804	0.0237998	0.0615523	0.0156574	0.0325711	0.0149964	0.0676703	0.0100417	0.0291066	0.00680547	0.051384	4.25291
30	-983.6545	-1013.881	30.22629	0.0908513	11.007	0.500179	0.0793398	0.103414	0.306491	0.116429	0.20113	0.123907	0.0141061	0.460778	0.0192279	0.399256	0.0855456	0.330898	0.197838	0.115147	0.0394677	0.0145375	0.105796	0.232661	0.0582294	0.144787	0.17614	0.303034	0.044638	0.134238	0.0238946	0.133701	0.647046	0.878017	1.07037	1.40457	0.112027	0.01777	0.0231619	0.068646	0.0260769	0.0450477	0.0277519	0.0031594	0.103202	0.00430655	0.0894229	0.01916	0.0741124	0.0443104	0.02579	0.00883973	0.00325602	0.0236956	0.0521099	0.0130418	0.0324285	0.0394507	0.0678717	0.00999774	0.0300658	0.00535176	0.0299455	4.464812
40	-986.4031	-1016.738	30.33524	0.01718372	58.19461	0.384461	0.160162	0.152658	0.380726	0.140049	0.20498	0.151891	0.00921691	0.232462	0.069189	0.176976	0.34523	0.203308	0.116972	0.213047	0.0345475	0.0465188	0.0947448	0.313853	0.0396851	0.137265	0.12428	0.308835	0.064619	0.217742	0.0436205	0.0624924	0.838641	0.952674	1.03752	1.17117	0.086795	0.0361577	0.0344637	0.0859517	0.0316171	0.0462757	0.0342905	0.00208079	0.0524802	0.0156199	0.0399538	0.0779382	0.0458983	0.0264074	0.0480969	0.00779936	0.010502	0.0213894	0.0708548	0.00895922	0.0309886	0.0280572	0.0697218	0.0145882	0.0491569	0.00984766	0.0141081	4.429531
50	-985.6299	-1015.878	30.24829	0.01243814	80.39785	0.436036	0.0471373	0.173137	0.4318	0.0264124	0.314072	0.05603	0.0716334	0.245582	0.046547	0.265971	0.138373	0.230581	0.132664	0.241627	0.0403039	0.0933363	0.0770567	0.355957	0.0310571	0.145958	0.115858	0.351393	0.130459	0.152703	0.0037475	0.165791	0.862012	0.960325	1.03257	1.14509	0.0964421	0.0104258	0.0382943	0.095505	0.00584187	0.0694662	0.0123927	0.0158438	0.0543177	0.0102952	0.0588272	0.0306053	0.0509997	0.0293425	0.0534428	0.00891437	0.020644	0.0170433	0.0787301	0.00686918	0.0322829	0.0256254	0.0777209	0.0288548	0.0337746	0.000828869	0.0366695	4.521225
60	-982.5658	-1012.198	29.63167	0.01012518	98.76369	0.846979	0.23093	0.135062	0.563083	0.0764741	0.345105	0.127246	0.0745635	0.269848	0.112673	0.342309	0.0992171	0.253364	0.086929	0.204912	0.0545169	0.174478	0.162666	0.115371	0.0537284	0.0702281	0.044403	0.144372	0.114954	0.233233	0.0213377	0.182172	0.875151	0.964502	1.02971	1.13063	0.164777	0.0449266	0.0262759	0.109546	0.0148778	0.067139	0.0247552	0.0145061	0.052498	0.0219201	0.0665951	0.0193023	0.0492912	0.0169117	0.0398649	0.0106061	0.0339441	0.0316461	0.0224451	0.0104527	0.0136627	0.00863846	0.0280871	0.022364	0.0453747	0.00415118	0.035441	5.140156
70	-988.2044	-1017.89	29.68511	0.02097119	47.68447	0.857229	0.236229	0.0731097	0.520899	0.151616	0.100895	0.0924091	0.0439217	0.273113	0.114482	0.346452	0.20658	0.103593	0.29147	0.0982445	0.172975	0.191108	0.18639	0.179334	0.164652	0.0519717	0.0683855	0.21289	0.12382	0.0333376	0.0303615	0.150403	0.822397	0.947185	1.04084	1.18957	0.168883	0.0465396	0.0144034	0.102623	0.0298699	0.0198773	0.0182056	0.00865304	0.0538062	0.0225542	0.0682546	0.0406983	0.0204089	0.0574227	0.0193552	0.034078	0.0376502	0.0367208	0.0353307	0.0324383	0.010239	0.0134727	0.0419415	0.0243939	0.00656786	0.00598153	0.029631	5.075871
80	-984.6005	-1014.668	30.06721	0.1324025	7.552725	0.465642	0.0909246	0.125082	0.477628	0.0625752	0.167632	0.136297	0.0388383	0.165697	0.0812221	0.683121	0.0369155	0.163959	0.124461	0.195663	0.0906034	0.135586	0.207361	0.135466	0.116817	0.130586	0.038389	0.21519	0.185965	0.0667012	0.128226	0.115789	0.582648	0.847329	1.07767	1.49235	0.101617	0.0198424	0.0272965	0.104232	0.0136557	0.0365822	0.029744	0.00847565	0.0361599	0.017725	0.149077	0.00805605	0.0357807	0.0271611	0.0426995	0.0197723	0.0295888	0.0452521	0.0295626	0.0254928	0.0284978	0.00837759	0.0469607	0.040583	0.0145562	0.0279826	0.0252685	4.582336
90	-983.8499	-1013.675	29.82479	0.01384461	72.23026	0.514069	0.197855	0.156708	0.597426	0.0537682	0.244681	0.190762	0.0220178	0.283183	0.119798	0.325639	0.0812488	0.267312	0.155679	0.167795	0.0772448	0.130729	0.259371	0.144622	0.169147	0.0573866	0.151273	0.150109	0.232609	0.131002	0.016525	0.0453632	0.854652	0.957946	1.03415	1.15325	0.103993	0.0400248	0.031701	0.120855	0.0108769	0.0494973	0.0385899	0.00445406	0.057286	0.0242343	0.0658745	0.0164361	0.0540755	0.0314927	0.0339438	0.0156261	0.0264455	0.0524689	0.0292561	0.0342172	0.0116089	0.0306014	0.030366	0.0470551	0.0265008	0.0033429	0.00917665	4.943323
