Iteration	Posterior	Likelihood	Prior	alpha_inv	alpha_morpho	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	relative_bl[1]	relative_bl[2]	relative_bl[3]	relative_bl[4]	relative_bl[5]	relative_bl[6]	relative_bl[7]	relative_bl[8]	relative_bl[9]	relative_bl[10]	relative_bl[11]	relative_bl[12]	relative_bl[13]	relative_bl[14]	relative_bl[15]	relative_bl[16]	relative_bl[17]	relative_bl[18]	relative_bl[19]	relative_bl[20]	relative_bl[21]	relative_bl[22]	relative_bl[23]	relative_bl[24]	relative_bl[25]	relative_bl[26]	relative_bl[27]	tree_length
100	-986.1733	-1016.656	30.48276	0.1533149	6.522524	0.415228	0.144398	0.175894	0.373053	0.0954823	0.143288	0.138126	0.0456358	0.274015	0.11804	0.404725	0.19764	0.0958298	0.28154	0.0661833	0.261281	0.0755306	0.0278241	0.0989952	0.0923394	0.124217	0.0416695	0.0458645	0.0224466	0.0489073	0.142626	0.195098	0.555191	0.833217	1.08007	1.53153	0.100155	0.0348292	0.0424262	0.0899818	0.0230307	0.0345615	0.0333164	0.0110075	0.0660934	0.0284717	0.097621	0.0476716	0.0231145	0.0679085	0.0159636	0.0630218	0.0182182	0.00671126	0.023878	0.0222726	0.0299615	0.0100508	0.0110627	0.0054142	0.0117966	0.0344019	0.0470583	4.145877
110	-983.6542	-1013.604	29.94999	0.07992239	12.51214	0.559095	0.350966	0.215477	0.360672	0.0540102	0.13786	0.185898	0.00472211	0.225096	0.100951	0.352134	0.320104	0.22376	0.0907378	0.140863	0.365614	0.0825916	0.0774855	0.103943	0.07176	0.16723	0.0787215	0.0411429	0.0929705	0.0766256	0.133764	0.137847	0.666979	0.886884	1.06768	1.37846	0.117654	0.0738559	0.0453442	0.0758984	0.0113657	0.0290107	0.0391197	0.000993701	0.0473682	0.0212436	0.0741016	0.0673614	0.0470872	0.0190945	0.0296425	0.0769383	0.0173802	0.0163057	0.0218734	0.0151009	0.0351912	0.0165658	0.00865794	0.0195643	0.0161248	0.0281486	0.029008	4.752044
120	-986.2849	-1015.797	29.51225	0.08876184	11.2661	0.636534	0.371397	0.032698	0.410628	0.0944796	0.105164	0.189756	0.00627442	0.364406	0.0648144	0.324057	0.365085	0.16919	0.147455	0.160373	0.391711	0.0940311	0.103216	0.232678	0.0934981	0.190393	0.108985	0.027929	0.133462	0.127625	0.152291	0.0828103	0.650738	0.879681	1.06988	1.3997	0.122861	0.0716853	0.00631121	0.0792574	0.018236	0.0202982	0.0366257	0.00121106	0.0703358	0.0125102	0.0625478	0.0704669	0.0326562	0.0284611	0.0309544	0.0756061	0.0181494	0.0199222	0.0449104	0.0180466	0.0367487	0.0210357	0.00539073	0.0257603	0.0246336	0.0293944	0.0159836	5.180938
130	-981.2196	-1010.913	29.69324	0.1913618	5.225704	0.479248	0.35365	0.171928	0.385527	0.0666903	0.166983	0.201493	0.012431	0.352772	0.120078	0.421817	0.0732617	0.268594	0.194619	0.108904	0.202434	0.204545	0.0458632	0.185121	0.0735544	0.111692	0.0683031	0.0919673	0.13899	0.0443414	0.169748	0.182793	0.51119	0.809175	1.08289	1.59675	0.0978586	0.0722126	0.0351063	0.0787217	0.0136176	0.0340966	0.0411432	0.00253831	0.0720332	0.0245189	0.0861317	0.0149595	0.0548447	0.0397397	0.0222374	0.0413354	0.0417664	0.00936491	0.0378003	0.0150192	0.0228065	0.013947	0.018779	0.0283808	0.00905416	0.0346613	0.0373249	4.897348
140	-988.8225	-1019.082	30.25956	0.01774933	56.34017	0.427699	0.315611	0.182921	0.0412616	0.050269	0.255284	0.202773	0.0328049	0.314827	0.103975	0.464426	0.0776754	0.20933	0.23708	0.136307	0.369592	0.0713417	0.0409301	0.165209	0.0656428	0.153598	0.0485378	0.122727	0.100924	0.0264915	0.15227	0.135139	0.836101	0.951824	1.03804	1.17403	0.0949462	0.0700635	0.0406072	0.00915977	0.0111594	0.0566712	0.0450142	0.00728245	0.0698894	0.0230816	0.103099	0.0172434	0.0464698	0.0526301	0.0302593	0.0820468	0.0158373	0.0090862	0.0366753	0.0145722	0.0340977	0.010775	0.0272445	0.0224044	0.00588093	0.0338028	0.03	4.504648
150	-983.1049	-1013.315	30.21017	0.1031105	9.698338	0.328583	0.336182	0.225692	0.199262	0.0611855	0.196124	0.132997	0.0313792	0.183724	0.0798794	0.519633	0.0939467	0.251295	0.116739	0.095797	0.286742	0.142437	0.136892	0.165275	0.120429	0.203247	0.0292504	0.11392	0.0784219	0.112201	0.116982	0.110457	0.626381	0.868519	1.07295	1.43215	0.0735304	0.0752307	0.0505053	0.0445909	0.0136921	0.0438886	0.0297621	0.00702203	0.0411138	0.0178754	0.116284	0.0210234	0.0562348	0.026124	0.0214375	0.0641672	0.0318745	0.0306337	0.0369853	0.0269496	0.0454826	0.00654566	0.025493	0.0175493	0.0251084	0.0261783	0.024718	4.468674
160	-981.1117	-1011.447	30.33578	0.08075058	12.38381	0.341735	0.306872	0.206015	0.152637	0.0371275	0.179025	0.0986447	0.0409601	0.267887	0.120563	0.492335	0.0444777	0.160382	0.150994	0.126482	0.296451	0.158137	0.104161	0.141223	0.118437	0.204301	0.100897	0.103988	0.11358	0.0926007	0.10986	0.0956558	0.665412	0.886197	1.0679	1.3805	0.0782822	0.0702959	0.0471924	0.034965	0.00850491	0.0410097	0.0225968	0.00938284	0.0613655	0.0276178	0.11278	0.0101886	0.036739	0.0345885	0.0289736	0.0679089	0.0362249	0.0238605	0.0323502	0.0271307	0.0467998	0.0231127	0.0238208	0.026018	0.0212123	0.025166	0.0219121	4.365427
170	-986.7897	-1017.296	30.50647	0.3485074	2.86938	0.251462	0.267583	0.0967377	0.32484	0.073663	0.213981	0.14799	0.0380913	0.297596	0.0907685	0.443267	0.0144001	0.102514	0.0877592	0.135017	0.183724	0.152351	0.0989141	0.134108	0.129343	0.10605	0.133972	0.0520155	0.107858	0.078154	0.12036	0.044456	0.378898	0.724029	1.08179	1.81528	0.0640344	0.0681397	0.0246342	0.0827203	0.0187582	0.05449	0.0376855	0.00969992	0.0757825	0.0231141	0.112877	0.00366696	0.0261051	0.0223478	0.0343819	0.0467852	0.038796	0.0251884	0.0341505	0.0329371	0.0270054	0.0341159	0.0132457	0.0274659	0.0199018	0.0306494	0.0113207	3.926975
180	-991.4253	-1022.186	30.76072	0.09965726	10.03439	0.389117	0.235656	0.092574	0.330039	0.107224	0.175612	0.07888	0.0517465	0.161944	0.0705878	0.407628	0.0537935	0.0893942	0.0889808	0.172209	0.137785	0.116617	0.0572525	0.135975	0.133374	0.0116583	0.164634	0.127185	0.150375	0.0706659	0.26713	0.0435403	0.632039	0.871151	1.07227	1.42454	0.0992246	0.0600921	0.0236063	0.0841598	0.0273421	0.044781	0.0201144	0.0131953	0.0412955	0.0179999	0.103945	0.0137173	0.0227955	0.0226901	0.0439132	0.0351351	0.0297372	0.0145994	0.0346735	0.0340103	0.00297287	0.0419816	0.0324321	0.0383456	0.0180198	0.0681181	0.0111027	3.921576
190	-994.2552	-1024.496	30.24041	0.2289801	4.367191	0.553543	0.306469	0.228735	0.24523	0.0695767	0.188058	0.0903824	0.0592922	0.170861	0.0743284	0.362333	0.222893	0.151153	0.156249	0.205258	0.157877	0.0394206	0.0650472	0.0839034	0.0322527	0.0602774	0.0645574	0.10547	0.197904	0.172369	0.205876	0.043245	0.473463	0.787021	1.08419	1.65533	0.128356	0.0710642	0.0530391	0.0568642	0.0161335	0.043607	0.0209579	0.0137487	0.0396193	0.0172353	0.0840182	0.0516846	0.0350496	0.0362312	0.0475954	0.0366086	0.00914088	0.0150832	0.0194556	0.00747877	0.0139772	0.0149696	0.0244565	0.0458902	0.0399689	0.0477386	0.0100277	4.312561
