Iteration	Posterior	Likelihood	Prior	tree_length
1310	-1319.314	-1451.508	132.1933	1.431949
1320	-1323.563	-1455.378	131.815	1.810309
1330	-1325.386	-1457.231	131.8454	1.779907
1340	-1327.411	-1459.33	131.9188	1.706431
1350	-1321.654	-1453.701	132.0472	1.578085
1360	-1319.217	-1451.189	131.9723	1.65302
1370	-1333.406	-1465.457	132.0501	1.575157
1380	-1329.607	-1461.541	131.9334	1.691926
1390	-1331.415	-1463.389	131.9742	1.651082
1400	-1318.514	-1450.176	131.6619	1.963383
1410	-1330.318	-1462.209	131.8905	1.734749
1420	-1318.89	-1450.915	132.0251	1.600178
1430	-1326.926	-1458.76	131.8341	1.791205
1440	-1318.553	-1450.411	131.858	1.767277
1450	-1325.11	-1456.829	131.7191	1.906223
1460	-1331.944	-1463.955	132.0109	1.614406
1470	-1340.452	-1472.604	132.1517	1.473615
1480	-1329.989	-1461.819	131.8301	1.795212
1490	-1324.623	-1456.453	131.8301	1.795212
1500	-1326.102	-1457.919	131.8168	1.808448
1510	-1329.35	-1460.716	131.3656	2.259645
1520	-1319.95	-1451.864	131.9138	1.711514
1530	-1326.743	-1458.816	132.0736	1.551651
1540	-1325.539	-1457.285	131.7456	1.879691
1550	-1321.737	-1453.499	131.7614	1.863926
1560	-1331.888	-1463.708	131.8204	1.804918
1570	-1325.954	-1457.922	131.9677	1.657619
1580	-1327.92	-1459.751	131.8316	1.793694
1590	-1332.355	-1463.889	131.5342	2.09108
1600	-1330.198	-1462.054	131.8559	1.769424
1610	-1327.179	-1459.043	131.8637	1.761573
1620	-1326.692	-1458.705	132.0135	1.611792
1630	-1314.889	-1446.586	131.6971	1.928228
1640	-1320.096	-1452.023	131.9277	1.697555
1650	-1321.069	-1452.972	131.9035	1.721823
1660	-1321.654	-1453.718	132.0637	1.561536
1670	-1315.992	-1447.849	131.8566	1.768682
1680	-1324.682	-1456.517	131.8347	1.790629
1690	-1320.761	-1452.629	131.8678	1.757471
1700	-1324.202	-1456.089	131.8869	1.738377
1710	-1323.936	-1455.719	131.7832	1.842061
1720	-1316.068	-1447.88	131.8123	1.813018
1730	-1323.468	-1455.171	131.7029	1.922428
1740	-1321.45	-1452.999	131.5489	2.076361
1750	-1321.584	-1453.539	131.9555	1.66974
1760	-1328.206	-1459.982	131.7763	1.848945
1770	-1325.76	-1457.148	131.388	2.237247
1780	-1331.075	-1462.903	131.8281	1.797136
1790	-1327.145	-1458.515	131.3701	2.255166
1800	-1328.02	-1459.676	131.6561	1.969209
1810	-1331.473	-1463.254	131.7808	1.844505
1820	-1329.441	-1461.066	131.625	2.000246
1830	-1332.925	-1464.894	131.9692	1.656095
1840	-1329.589	-1461.267	131.6778	1.947486
