Iteration	Replicate_ID	Posterior	Likelihood	Prior	tree_length
122	0	-1320.965	-1452.651	131.6858	1.939505
123	1	-1323.908	-1455.741	131.8328	1.792504
124	0	-1325.142	-1457.252	132.1103	1.514971
125	1	-1319.269	-1451.071	131.8029	1.822385
126	0	-1325.004	-1457.048	132.0444	1.580842
127	1	-1333.128	-1465.029	131.901	1.72424
128	0	-1336.333	-1468.244	131.9112	1.71407
129	1	-1325.853	-1458.029	132.1754	1.449849
130	0	-1327.163	-1459.03	131.8669	1.75836
131	1	-1319.419	-1451.466	132.047	1.578327
132	0	-1342.494	-1474.094	131.6008	2.024496
133	1	-1318.782	-1450.313	131.5313	2.093941
134	0	-1322.194	-1453.691	131.4964	2.12889
135	1	-1322.936	-1454.891	131.9543	1.67101
136	0	-1336.942	-1468.828	131.8864	1.738843
137	1	-1317.955	-1449.658	131.7031	1.922149
138	0	-1349.947	-1481.588	131.6406	1.984638
139	1	-1325.661	-1457.359	131.6985	1.926813
140	0	-1329.152	-1461.13	131.9783	1.646996
141	1	-1317.301	-1449.228	131.9264	1.698869
142	0	-1328.2	-1459.912	131.7117	1.913623
143	1	-1316.129	-1448.192	132.0631	1.562179
144	0	-1325.618	-1457.169	131.551	2.074305
145	1	-1330.336	-1461.889	131.5527	2.072614
146	0	-1330.131	-1461.788	131.6571	1.968141
147	1	-1327.776	-1459.607	131.831	1.794329
148	0	-1327.13	-1459.214	132.0843	1.540938
149	1	-1329.521	-1461.333	131.8114	1.81385
150	0	-1319.273	-1451.175	131.902	1.723285
151	1	-1334.93	-1466.587	131.6574	1.967835
152	0	-1323.298	-1455.206	131.9085	1.716731
153	1	-1319.268	-1451.132	131.8635	1.761791
154	0	-1337.58	-1469.389	131.8085	1.816827
155	1	-1334.286	-1466.055	131.769	1.85626
156	0	-1336.065	-1467.615	131.5496	2.075704
157	1	-1331.591	-1463.23	131.6394	1.985901
158	0	-1321.234	-1453.103	131.8687	1.756582
159	1	-1317.267	-1448.986	131.7189	1.906345
160	0	-1332.783	-1464.93	132.1476	1.477673
161	1	-1335.417	-1467.544	132.1267	1.498561
162	0	-1309.481	-1441.242	131.7607	1.864585
163	1	-1328.389	-1459.926	131.537	2.088236
164	0	-1322.578	-1454.398	131.8203	1.804942
165	1	-1320.103	-1452.094	131.9907	1.634563
166	0	-1319.105	-1451.031	131.9258	1.699505
167	1	-1332.182	-1464.054	131.8717	1.753615
168	0	-1316.642	-1448.392	131.7501	1.875206
169	1	-1329.794	-1461.458	131.6642	1.961072
170	0	-1318.27	-1450.188	131.9184	1.706838
171	1	-1323.448	-1455.441	131.9938	1.631447
172	0	-1317.414	-1449.666	132.2524	1.372853
173	1	-1315.647	-1447.636	131.9897	1.635572
174	0	-1314.392	-1446.291	131.8989	1.726388
175	1	-1314.709	-1446.698	131.9897	1.635572
176	0	-1313.409	-1445.434	132.0252	1.600031
177	1	-1312.659	-1444.419	131.7602	1.865038
178	0	-1318.193	-1450.052	131.8596	1.765661
