Iteration	Posterior	Likelihood	Prior	tree_length
0	-1316.651	-1448.675	132.0236	1.601664
10	-1319.117	-1451.015	131.8982	1.727123
20	-1322.29	-1454.224	131.934	1.69123
30	-1331.243	-1463.277	132.0341	1.591159
40	-1312.81	-1444.729	131.9194	1.705875
50	-1310.118	-1442.236	132.1177	1.50761
60	-1324.314	-1455.948	131.6344	1.990872
70	-1325.943	-1457.996	132.0527	1.572595
80	-1318.273	-1450.096	131.8231	1.802135
90	-1324.933	-1456.756	131.8231	1.802135
100	-1317.608	-1449.287	131.6794	1.945909
110	-1333.04	-1464.925	131.8844	1.740843
120	-1330.104	-1461.844	131.7404	1.884914
130	-1315.159	-1447.23	132.0707	1.554549
140	-1318.452	-1450.637	132.1848	1.440497
150	-1328.574	-1460.297	131.7224	1.902856
160	-1321.597	-1453.121	131.5238	2.101452
170	-1324.548	-1456.194	131.6457	1.979596
180	-1328.929	-1460.981	132.0526	1.572697
190	-1326.692	-1458.669	131.9768	1.648458
200	-1325.498	-1457.338	131.8401	1.785164
210	-1324.163	-1455.83	131.6667	1.958545
220	-1320.003	-1451.943	131.9401	1.685221
230	-1323.896	-1455.946	132.0494	1.575849
240	-1324.346	-1456.395	132.0492	1.576104
250	-1331.646	-1463.293	131.6471	1.978214
260	-1317.7	-1449.398	131.6981	1.927168
270	-1326.035	-1457.757	131.7217	1.903541
280	-1323.041	-1455.083	132.0417	1.583618
290	-1325.023	-1456.95	131.9268	1.698526
300	-1323.971	-1455.96	131.9881	1.637213
310	-1320.104	-1451.948	131.8446	1.780714
320	-1330.371	-1462.263	131.892	1.733291
330	-1328.482	-1460.374	131.892	1.733291
340	-1325.517	-1457.394	131.8769	1.748366
350	-1325.179	-1456.887	131.7082	1.917068
360	-1321.346	-1453.274	131.9278	1.697521
370	-1326.34	-1458.094	131.7543	1.870983
380	-1332.081	-1463.95	131.8696	1.755718
390	-1330.095	-1461.857	131.7623	1.862975
400	-1322.761	-1454.423	131.6626	1.962646
410	-1316.973	-1448.928	131.9551	1.67016
420	-1321.86	-1453.511	131.6512	1.974126
430	-1308.399	-1440.367	131.9678	1.657491
440	-1323.642	-1455.389	131.7471	1.878199
450	-1322.882	-1454.849	131.9668	1.658438
460	-1317.989	-1449.859	131.8703	1.755003
470	-1319.779	-1451.727	131.9472	1.678063
480	-1317.484	-1449.627	132.1433	1.482009
490	-1310.184	-1441.89	131.706	1.91932
500	-1315.59	-1447.296	131.706	1.91932
510	-1311.475	-1443.302	131.8269	1.798357
520	-1315.774	-1447.576	131.8021	1.823223
530	-1322.537	-1454.372	131.835	1.790234
540	-1324.934	-1456.687	131.7524	1.872838
550	-1324.948	-1457.16	132.2122	1.413068
560	-1320.922	-1452.912	131.9903	1.634968
570	-1331.383	-1463.478	132.0945	1.530746
580	-1327.145	-1459.357	132.2117	1.413562
590	-1319.169	-1450.52	131.3512	2.274119
600	-1311.707	-1443.562	131.8546	1.770653
610	-1320.965	-1452.651	131.6858	1.939505
620	-1325.142	-1457.252	132.1103	1.514971
630	-1325.004	-1457.048	132.0444	1.580842
640	-1336.333	-1468.244	131.9112	1.71407
650	-1327.163	-1459.03	131.8669	1.75836
660	-1342.494	-1474.094	131.6008	2.024496
670	-1322.194	-1453.691	131.4964	2.12889
680	-1336.942	-1468.828	131.8864	1.738843
690	-1349.947	-1481.588	131.6406	1.984638
700	-1329.152	-1461.13	131.9783	1.646996
710	-1328.2	-1459.912	131.7117	1.913623
720	-1325.618	-1457.169	131.551	2.074305
730	-1330.131	-1461.788	131.6571	1.968141
740	-1327.13	-1459.214	132.0843	1.540938
750	-1319.273	-1451.175	131.902	1.723285
760	-1323.298	-1455.206	131.9085	1.716731
770	-1337.58	-1469.389	131.8085	1.816827
780	-1336.065	-1467.615	131.5496	2.075704
790	-1321.234	-1453.103	131.8687	1.756582
800	-1332.783	-1464.93	132.1476	1.477673
810	-1309.481	-1441.242	131.7607	1.864585
820	-1322.578	-1454.398	131.8203	1.804942
830	-1319.105	-1451.031	131.9258	1.699505
840	-1316.642	-1448.392	131.7501	1.875206
850	-1318.27	-1450.188	131.9184	1.706838
860	-1317.414	-1449.666	132.2524	1.372853
870	-1314.392	-1446.291	131.8989	1.726388
880	-1313.409	-1445.434	132.0252	1.600031
890	-1318.193	-1450.052	131.8596	1.765661
900	-1323.375	-1455.236	131.8611	1.764214
910	-1326.105	-1458.047	131.9427	1.682532
920	-1321.212	-1453.094	131.8823	1.742939
930	-1313.823	-1445.819	131.9955	1.629783
940	-1315.651	-1447.637	131.9858	1.639448
950	-1322.521	-1454.255	131.7339	1.891417
960	-1320.151	-1451.971	131.8198	1.805526
970	-1315.38	-1447.512	132.1323	1.492957
980	-1327.967	-1459.882	131.9151	1.710155
990	-1331.586	-1463.453	131.8677	1.757604
1000	-1322.972	-1455.031	132.059	1.566248
1010	-1337.726	-1469.215	131.4888	2.136511
1020	-1319.184	-1451.083	131.8992	1.726064
1030	-1313.528	-1445.3	131.7721	1.853185
1040	-1317.127	-1449.095	131.9682	1.657043
1050	-1325.236	-1457.347	132.111	1.514245
1060	-1342.499	-1474.02	131.5208	2.10448
1070	-1319.4	-1451.345	131.9446	1.680651
