Iteration	Posterior	Likelihood	Prior	tree_length
0	-705.8858	-734.6592	28.77339	6.008561
10	-707.9658	-736.1709	28.20517	6.576782
20	-705.047	-733.3975	28.35047	6.431487
30	-704.954	-732.54	27.58599	7.195961
40	-714.0452	-741.9254	27.88016	6.901798
50	-717.4077	-746.0196	28.61193	6.170025
60	-705.9584	-734.2991	28.34071	6.441241
70	-704.3691	-733.1699	28.80077	5.981181
80	-708.4959	-737.5402	29.04426	5.73769
90	-715.1647	-744.0268	28.86214	5.919809
100	-712.5142	-741.0239	28.50974	6.272218
110	-712.3636	-739.9198	27.55618	7.225771
120	-718.5234	-745.7767	27.25332	7.528637
130	-713.7627	-741.4828	27.72009	7.061867
140	-720.5257	-748.5043	27.97852	6.803428
150	-719.4464	-746.2085	26.76215	8.019805
160	-716.7636	-743.7962	27.03261	7.74934
170	-710.8984	-739.1542	28.25577	6.52618
180	-707.3565	-736.19	28.83353	5.948428
190	-704.5341	-733.4004	28.86621	5.91574
200	-713.5808	-742.7087	29.12793	5.654021
210	-699.6287	-728.397	28.76831	6.013639
220	-717.184	-745.4911	28.30711	6.474847
230	-708.3835	-737.0907	28.70719	6.074767
240	-706.122	-734.1985	28.07647	6.705488
250	-706.4321	-733.4303	26.99826	7.783688
260	-707.6156	-736.7621	29.14655	5.635404
270	-705.5382	-734.5289	28.99079	5.79116
280	-707.0642	-735.9828	28.91869	5.863261
290	-712.5009	-741.1167	28.6158	6.166155
300	-717.7344	-746.1117	28.37725	6.404702
310	-702.2944	-730.6691	28.37474	6.407213
320	-708.178	-737.2139	29.03589	5.746059
330	-705.2008	-733.57	28.36923	6.412723
340	-714.7995	-743.8676	29.06812	5.713836
350	-702.289	-730.6809	28.39191	6.390046
360	-704.34	-732.5637	28.22372	6.55823
370	-716.1004	-744.7415	28.64106	6.140894
380	-709.6712	-739.0551	29.38394	5.398015
390	-711.9654	-740.0376	28.07224	6.70971
400	-703.5516	-731.6097	28.05808	6.723874
