Iteration	Replicate_ID	Posterior	Likelihood	Prior	tree_length
122	0	-715.4601	-743.6913	28.2312	6.550752
123	1	-700.9774	-729.3292	28.35177	6.430185
124	0	-707.2676	-735.7486	28.48097	6.300981
125	1	-707.8012	-736.8346	29.03347	5.748479
126	0	-702.15	-730.5551	28.4051	6.376849
127	1	-704.9589	-733.3489	28.39	6.39195
128	0	-703.9614	-733.1921	29.23065	5.551301
129	1	-710.524	-739.5125	28.98851	5.793441
130	0	-723.397	-751.6103	28.21323	6.56872
131	1	-716.0531	-744.3397	28.28664	6.495318
132	0	-706.6608	-734.4853	27.82452	6.957433
133	1	-713.8055	-741.675	27.86956	6.912397
134	0	-706.4925	-735.0307	28.53817	6.243778
135	1	-709.3848	-736.7695	27.38464	7.397312
136	0	-705.4169	-734.6171	29.20016	5.581797
137	1	-705.4777	-733.9733	28.49553	6.286424
138	0	-701.5729	-730.4755	28.90268	5.879273
139	1	-710.0697	-738.7112	28.6415	6.140457
140	0	-706.0222	-734.5005	28.47825	6.303702
141	1	-709.8421	-736.924	27.08193	7.700024
142	0	-707.7208	-736.8612	29.14043	5.641521
143	1	-708.6137	-736.8386	28.22484	6.557112
144	0	-702.1337	-731.9125	29.77886	5.003096
145	1	-711.537	-741.2665	29.72945	5.052506
146	0	-705.5773	-734.0618	28.48442	6.29753
147	1	-709.0747	-737.5239	28.4492	6.332752
148	0	-705.6047	-734.3573	28.75268	6.029275
149	1	-714.4046	-742.8756	28.471	6.310948
150	0	-705.6781	-735.0121	29.334	5.447953
151	1	-717.2822	-745.9641	28.68187	6.100084
152	0	-704.2945	-731.7565	27.46198	7.319969
153	1	-720.8238	-749.4536	28.62973	6.15222
154	0	-715.2187	-744.2656	29.04686	5.735096
155	1	-713.4603	-741.7702	28.30992	6.472029
156	0	-709.1889	-737.8542	28.66529	6.116664
157	1	-713.0359	-741.3734	28.3375	6.44445
158	0	-706.9466	-735.6476	28.70095	6.081002
159	1	-716.2116	-742.9925	26.78097	8.000988
160	0	-710.1491	-738.131	27.9819	6.800058
161	1	-710.3065	-737.1688	26.8623	7.919655
162	0	-711.4299	-739.1283	27.69834	7.083614
163	1	-710.5953	-738.1967	27.6014	7.180553
164	0	-705.4225	-733.9002	28.47774	6.304209
165	1	-708.0364	-735.0984	27.06202	7.719934
166	0	-719.6618	-745.1264	25.46465	9.317298
167	1	-708.6595	-735.5341	26.87466	7.907291
168	0	-712.9183	-741.2239	28.30556	6.476393
169	1	-710.2533	-738.2094	27.95612	6.825834
170	0	-705.5077	-733.6142	28.10643	6.675523
171	1	-709.6151	-737.7524	28.13738	6.644577
172	0	-709.6947	-737.129	27.43426	7.34769
173	1	-704.1949	-732.9343	28.73939	6.042562
174	0	-708.0282	-736.0912	28.06304	6.718918
175	1	-707.4638	-736.2079	28.74413	6.037827
176	0	-710.5347	-737.881	27.34634	7.435617
177	1	-705.7674	-733.4317	27.66427	7.117682
178	0	-704.4325	-732.9115	28.47895	6.303
179	1	-703.9733	-733.4247	29.45143	5.330526
180	0	-703.5109	-731.941	28.43011	6.351842
181	1	-710.2393	-739.4964	29.25711	5.52484
182	0	-708.9137	-737.9146	29.00094	5.781017
183	1	-710.5215	-738.6138	28.09237	6.689582
184	0	-706.3195	-734.4647	28.14522	6.636736
185	1	-708.2554	-735.4724	27.21704	7.564916
186	0	-711.7012	-740.3203	28.61916	6.162789
187	1	-706.5976	-735.9355	29.33788	5.444068
188	0	-711.0083	-739.7794	28.7711	6.010855
189	1	-705.7604	-733.4206	27.66019	7.12176
190	0	-705.1384	-733.6573	28.51888	6.263072
191	1	-709.3895	-737.6886	28.29906	6.482888
192	0	-705.4686	-733.8601	28.39148	6.39047
193	1	-706.7749	-735.3617	28.58678	6.195177
194	0	-699.8636	-729.2643	29.40077	5.381181
195	1	-712.3154	-740.394	28.07852	6.703436
196	0	-705.0929	-733.463	28.3701	6.411853
197	1	-717.3891	-744.7592	27.37013	7.411827
198	0	-707.0791	-735.4256	28.34656	6.435392
199	1	-702.3933	-731.4597	29.06638	5.715578
200	0	-700.5632	-728.8306	28.26739	6.514563
201	1	-709.2511	-737.4323	28.18113	6.60082
202	0	-705.4604	-733.8791	28.41871	6.363246
203	1	-710.131	-738.4039	28.27283	6.509126
204	0	-707.572	-736.2804	28.70849	6.073463
205	1	-714.4845	-742.7573	28.27283	6.509126
206	0	-709.6138	-737.6319	28.018	6.763948
207	1	-714.0497	-742.4325	28.38274	6.399213
208	0	-711.0287	-740.0574	29.02874	5.753212
209	1	-709.7311	-738.7375	29.00632	5.775637
210	0	-717.6628	-746.2201	28.55733	6.22462
211	1	-703.7564	-733.1881	29.43162	5.350336
212	0	-715.4398	-743.5449	28.10504	6.676915
213	1	-716.9669	-745.6344	28.66752	6.114437
214	0	-709.1657	-736.769	27.60334	7.178609
215	1	-707.6131	-736.195	28.58191	6.200039
216	0	-709.9993	-738.5797	28.58042	6.201533
217	1	-718.2568	-745.8246	27.56774	7.214212
218	0	-712.072	-740.6524	28.58042	6.201533
219	1	-710.2179	-738.4523	28.23441	6.547546
220	0	-712.7072	-740.9086	28.20146	6.580497
221	1	-707.1065	-735.8151	28.70857	6.073384
222	0	-709.1021	-736.7509	27.64883	7.133124
223	1	-702.0306	-731.598	29.56738	5.214573
224	0	-703.965	-732.0413	28.07638	6.705575
225	1	-705.4542	-734.3974	28.9431	5.838849
226	0	-702.7602	-731.6646	28.90437	5.877583
227	1	-702.5405	-731.7865	29.24603	5.535924
228	0	-705.6919	-733.0175	27.32567	7.456284
229	1	-701.9344	-730.3361	28.40173	6.380224
230	0	-704.5789	-733.1874	28.60846	6.173496
231	1	-711.8942	-739.0559	27.16179	7.620164
