Iteration	Posterior	Likelihood	Prior	tree_length
0	-940.8281	-1072.585	131.7572	1.868038
10	-953.7555	-1085.164	131.4088	2.216527
20	-930.8585	-1062.656	131.7972	1.828118
30	-938.706	-1070.491	131.7846	1.840663
40	-931.7638	-1063.273	131.5088	2.116525
50	-931.7009	-1063.324	131.6233	2.001966
60	-948.2949	-1079.826	131.5312	2.094082
70	-950.2871	-1082.084	131.797	1.828253
80	-939.1426	-1070.917	131.7739	1.851341
90	-936.7444	-1068.487	131.7425	1.88282
100	-930.6026	-1061.849	131.2465	2.378753
110	-928.7557	-1060.327	131.5711	2.054143
120	-932.8337	-1064.384	131.5507	2.074565
130	-923.4851	-1054.872	131.3872	2.238121
140	-923.9595	-1055.474	131.5142	2.111071
150	-922.3691	-1053.988	131.619	2.006242
160	-910.9242	-1042.637	131.7124	1.912907
170	-914.8318	-1046.671	131.8394	1.785926
180	-919.6762	-1051.273	131.5968	2.028475
190	-919.7726	-1051.118	131.3454	2.279846
200	-916.5769	-1048.348	131.7712	1.85404
210	-933.4559	-1065.259	131.8031	1.822168
220	-924.5379	-1056.025	131.4869	2.138386
230	-927.4047	-1059.116	131.7109	1.91442
240	-928.1785	-1059.787	131.6082	2.017124
250	-925.519	-1057.241	131.7224	1.902888
260	-929.7804	-1061.44	131.6599	1.965364
270	-921.5752	-1053.027	131.4522	2.173073
280	-937.6511	-1069.243	131.5915	2.033794
290	-931.2144	-1062.877	131.6626	1.962678
300	-941.5515	-1073.182	131.6308	1.994521
310	-935.5802	-1067.17	131.5901	2.035141
320	-936.0185	-1067.964	131.9453	1.680017
330	-947.0092	-1078.661	131.6514	1.97384
340	-937.2089	-1069.072	131.8636	1.761719
350	-914.6489	-1046.289	131.6405	1.98477
360	-917.1697	-1048.8	131.6298	1.995443
370	-922.805	-1054.742	131.9374	1.687863
380	-922.4943	-1053.94	131.4458	2.179511
390	-934.533	-1066.184	131.651	1.974231
400	-934.7224	-1066.471	131.7488	1.876492
410	-922.6264	-1054.169	131.5421	2.083134
420	-926.7954	-1058.144	131.3488	2.276526
430	-924.0622	-1055.88	131.8176	1.807696
440	-930.4325	-1062.343	131.9109	1.714336
450	-938.3866	-1070.026	131.6395	1.985809
460	-939.4966	-1070.909	131.4128	2.212518
470	-930.1431	-1061.672	131.5287	2.096579
480	-928.9961	-1060.608	131.6115	2.013828
490	-922.1721	-1054.036	131.8634	1.761869
500	-939.7259	-1071.393	131.6672	1.958122
510	-929.0903	-1060.925	131.8346	1.790692
520	-936.1294	-1067.921	131.7911	1.834143
530	-924.4674	-1056.421	131.9532	1.672104
540	-931.2684	-1062.862	131.5933	2.031937
550	-933.2891	-1064.709	131.4201	2.205208
560	-936.9293	-1068.526	131.597	2.028244
570	-920.1574	-1052.028	131.8711	1.754213
580	-936.5046	-1067.904	131.3998	2.225441
590	-935.8024	-1067.552	131.7495	1.875762
600	-931.4917	-1063.102	131.6107	2.014609
610	-930.3537	-1062.18	131.8265	1.798742
620	-924.9284	-1056.479	131.5507	2.074542
630	-941.8631	-1073.205	131.3418	2.283485
640	-930.2708	-1061.813	131.5419	2.083383
650	-934.7617	-1066.445	131.6829	1.94238
660	-931.0015	-1062.83	131.8288	1.796434
670	-931.3353	-1063.398	132.0623	1.563006
680	-938.2952	-1069.761	131.4656	2.159694
690	-929.9852	-1061.622	131.6366	1.988673
700	-936.5361	-1068.233	131.6968	1.928494
710	-940.2031	-1071.791	131.588	2.037253
720	-931.3131	-1063.178	131.8649	1.760364
730	-921.9012	-1053.775	131.8743	1.751029
740	-926.4735	-1058.021	131.5474	2.07783
750	-920.3606	-1051.885	131.5239	2.101343
760	-930.3619	-1062.024	131.6624	1.962888
770	-932.8783	-1064.319	131.4409	2.1844
780	-936.3697	-1068.208	131.8387	1.786542
790	-929.579	-1061.451	131.8716	1.753664
800	-929.789	-1061.569	131.78	1.845313
810	-929.6294	-1061.297	131.6677	1.957531
820	-930.9722	-1062.751	131.7788	1.846491
830	-923.5107	-1055.057	131.5466	2.078723
840	-931.4601	-1063.112	131.6522	1.973109
850	-923.0203	-1054.661	131.6408	1.984496
860	-923.3652	-1054.994	131.6292	1.996097
870	-931.7099	-1063.155	131.4449	2.180348
880	-922.0169	-1053.886	131.8689	1.756391
890	-913.5206	-1045.35	131.8295	1.795818
900	-920.6679	-1052.258	131.5903	2.035013
910	-924.3436	-1055.822	131.4781	2.14716
920	-934.6768	-1066.289	131.6119	2.013404
930	-929.8047	-1061.479	131.6741	1.951148
940	-922.5047	-1054.191	131.6868	1.938492
950	-940.7983	-1072.311	131.513	2.112325
960	-921.2791	-1052.674	131.3951	2.230192
970	-913.2812	-1044.923	131.6421	1.983229
980	-925.7864	-1057.356	131.5701	2.055144
990	-929.4344	-1061.223	131.7882	1.837118
1000	-940.8729	-1072.313	131.4399	2.185429
1010	-935.9381	-1067.377	131.4386	2.186714
1020	-931.8707	-1063.372	131.501	2.124321
1030	-934.2583	-1065.741	131.4827	2.142546
