Iteration	Replicate_ID	Posterior	Likelihood	Prior	tree_length
122	0	-930.3537	-1062.18	131.8265	1.798742
123	1	-927.8532	-1059.597	131.7434	1.881869
124	0	-924.9284	-1056.479	131.5507	2.074542
125	1	-934.2807	-1065.798	131.517	2.108251
126	0	-941.8631	-1073.205	131.3418	2.283485
127	1	-923.85	-1055.5	131.6496	1.975705
128	0	-930.2708	-1061.813	131.5419	2.083383
129	1	-920.0925	-1051.745	131.6522	1.973079
130	0	-934.7617	-1066.445	131.6829	1.94238
131	1	-933.5794	-1065.102	131.5224	2.102864
132	0	-931.0015	-1062.83	131.8288	1.796434
133	1	-920.7091	-1052.232	131.5224	2.102864
134	0	-931.3353	-1063.398	132.0623	1.563006
135	1	-918.8361	-1050.608	131.7718	1.85348
136	0	-938.2952	-1069.761	131.4656	2.159694
137	1	-931.7585	-1062.805	131.0462	2.579079
138	0	-929.9852	-1061.622	131.6366	1.988673
139	1	-923.1224	-1054.808	131.6858	1.939468
140	0	-936.5361	-1068.233	131.6968	1.928494
141	1	-921.1516	-1052.837	131.6858	1.939468
142	0	-940.2031	-1071.791	131.588	2.037253
143	1	-916.7654	-1048.525	131.7592	1.866124
144	0	-931.3131	-1063.178	131.8649	1.760364
145	1	-927.022	-1058.835	131.8125	1.812752
146	0	-921.9012	-1053.775	131.8743	1.751029
147	1	-928.925	-1060.852	131.9267	1.698592
148	0	-926.4735	-1058.021	131.5474	2.07783
149	1	-939.449	-1071.103	131.6537	1.971548
150	0	-920.3606	-1051.885	131.5239	2.101343
151	1	-930.9516	-1062.768	131.8166	1.808715
152	0	-930.3619	-1062.024	131.6624	1.962888
153	1	-922.9361	-1054.806	131.8695	1.755812
154	0	-932.8783	-1064.319	131.4409	2.1844
155	1	-915.9818	-1047.535	131.5528	2.07248
156	0	-936.3697	-1068.208	131.8387	1.786542
157	1	-916.749	-1048.295	131.5455	2.079733
158	0	-929.579	-1061.451	131.8716	1.753664
159	1	-921.6356	-1053.208	131.5723	2.052979
160	0	-929.789	-1061.569	131.78	1.845313
161	1	-923.9071	-1055.66	131.7527	1.872566
162	0	-929.6294	-1061.297	131.6677	1.957531
163	1	-925.6141	-1057.143	131.5289	2.096417
164	0	-930.9722	-1062.751	131.7788	1.846491
165	1	-912.2185	-1043.665	131.4465	2.178792
166	0	-923.5107	-1055.057	131.5466	2.078723
167	1	-923.1665	-1054.795	131.6287	1.996609
168	0	-931.4601	-1063.112	131.6522	1.973109
169	1	-916.6759	-1048.224	131.5482	2.077056
170	0	-923.0203	-1054.661	131.6408	1.984496
171	1	-924.4392	-1055.846	131.4071	2.218217
172	0	-923.3652	-1054.994	131.6292	1.996097
173	1	-930.1517	-1061.838	131.6863	1.938946
174	0	-931.7099	-1063.155	131.4449	2.180348
175	1	-921.8649	-1053.342	131.4772	2.148052
176	0	-922.0169	-1053.886	131.8689	1.756391
177	1	-911.7788	-1043.331	131.5518	2.073494
178	0	-913.5206	-1045.35	131.8295	1.795818
179	1	-930.5156	-1062.114	131.5981	2.027202
180	0	-920.6679	-1052.258	131.5903	2.035013
181	1	-916.1255	-1047.821	131.6959	1.929401
182	0	-924.3436	-1055.822	131.4781	2.14716
183	1	-922.0403	-1053.95	131.9098	1.715501
184	0	-934.6768	-1066.289	131.6119	2.013404
185	1	-926.0555	-1057.597	131.5412	2.084088
186	0	-929.8047	-1061.479	131.6741	1.951148
187	1	-938.6554	-1069.971	131.3157	2.309532
188	0	-922.5047	-1054.191	131.6868	1.938492
189	1	-933.4904	-1065.278	131.788	1.837296
190	0	-940.7983	-1072.311	131.513	2.112325
191	1	-921.2362	-1053.067	131.8304	1.794831
192	0	-921.2791	-1052.674	131.3951	2.230192
193	1	-926.5751	-1058.083	131.5078	2.117434
194	0	-913.2812	-1044.923	131.6421	1.983229
195	1	-921.6839	-1053.453	131.769	1.856269
196	0	-925.7864	-1057.356	131.5701	2.055144
197	1	-920.4409	-1051.945	131.504	2.121265
198	0	-929.4344	-1061.223	131.7882	1.837118
199	1	-929.8793	-1061.637	131.7581	1.867133
200	0	-940.8729	-1072.313	131.4399	2.185429
201	1	-920.7405	-1052.119	131.378	2.247283
202	0	-935.9381	-1067.377	131.4386	2.186714
203	1	-928.2622	-1059.977	131.7146	1.910717
204	0	-931.8707	-1063.372	131.501	2.124321
205	1	-932.6957	-1064.222	131.5267	2.09853
206	0	-934.2583	-1065.741	131.4827	2.142546
207	1	-923.7287	-1055.37	131.6414	1.983855
208	0	-932.7365	-1064.415	131.6786	1.946645
209	1	-928.9664	-1060.866	131.8997	1.725575
210	0	-924.087	-1055.882	131.7949	1.830392
211	1	-928.4378	-1059.875	131.4375	2.187757
212	0	-926.3292	-1057.951	131.6214	2.003898
213	1	-920.0036	-1051.556	131.5526	2.072677
214	0	-921.0836	-1052.774	131.6908	1.934501
215	1	-919.6355	-1051.348	131.7127	1.912624
216	0	-917.3453	-1049.034	131.6886	1.936703
217	1	-921.7582	-1053.181	131.4227	2.202594
218	0	-921.2551	-1052.774	131.5193	2.105962
219	1	-919.7597	-1051.371	131.6115	2.013796
220	0	-933.5578	-1065.074	131.5161	2.109204
221	1	-915.8988	-1047.684	131.7856	1.839698
222	0	-926.6335	-1058.294	131.66	1.965261
223	1	-928.6289	-1060.344	131.7149	1.910395
224	0	-924.6098	-1055.957	131.3473	2.278009
225	1	-918.8346	-1050.479	131.6446	1.980711
226	0	-921.6404	-1053.137	131.497	2.128286
227	1	-923.8214	-1055.713	131.8915	1.733791
228	0	-927.8304	-1059.456	131.6259	1.999347
229	1	-910.2109	-1041.925	131.7139	1.911386
230	0	-928.1997	-1060.018	131.8187	1.806556
231	1	-930.3927	-1061.794	131.401	2.224303
232	0	-926.9133	-1058.198	131.285	2.340293
233	1	-920.8077	-1052.235	131.427	2.198262
234	0	-926.9096	-1058.565	131.6551	1.97016
235	1	-916.8651	-1048.424	131.5591	2.066163
236	0	-927.4326	-1059.088	131.6551	1.97016
237	1	-920.0734	-1051.858	131.7849	1.84036
238	0	-932.1688	-1063.961	131.792	1.833293
239	1	-923.5919	-1055.074	131.4824	2.142838
240	0	-933.9197	-1065.538	131.6183	2.007016
241	1	-922.7985	-1054.303	131.5048	2.12047
242	0	-931.7607	-1063.324	131.563	2.062257
243	1	-922.0946	-1053.979	131.8844	1.740912
244	0	-933.4163	-1065.143	131.7263	1.898938
245	1	-929.3027	-1060.546	131.2428	2.382467
246	0	-926.4155	-1058.057	131.6417	1.983625
247	1	-938.3703	-1069.939	131.5688	2.056525
248	0	-931.4652	-1063.245	131.7802	1.845107
249	1	-933.3105	-1064.809	131.4981	2.127185
250	0	-925.6048	-1057.385	131.7802	1.845107
251	1	-920.9777	-1052.734	131.7563	1.868968
252	0	-926.6677	-1058.279	131.611	2.014307
253	1	-933.0165	-1064.21	131.1939	2.431376
254	0	-932.461	-1064.186	131.7249	1.900401
255	1	-923.6215	-1055.242	131.6204	2.004833
256	0	-925.0466	-1056.448	131.4015	2.223765
257	1	-926.1295	-1057.739	131.6092	2.016108
258	0	-916.5844	-1048.217	131.6328	1.992503
259	1	-923.4891	-1055.103	131.6139	2.011382
260	0	-919.7668	-1051.389	131.6219	2.003375
261	1	-918.675	-1050.307	131.632	1.993254
262	0	-928.4228	-1060.032	131.6093	2.015975
263	1	-921.5199	-1053.149	131.6293	1.995957
264	0	-926.574	-1058.508	131.9344	1.690878
265	1	-924.5791	-1055.888	131.3093	2.31602
266	0	-920.706	-1052.352	131.6464	1.978892
267	1	-914.4735	-1046.184	131.7101	1.915191
268	0	-916.1214	-1047.796	131.6749	1.950357
269	1	-932.2538	-1063.766	131.5122	2.113031
270	0	-920.5385	-1051.868	131.3298	2.295512
271	1	-923.7807	-1055.413	131.6321	1.993217
272	0	-929.9525	-1061.466	131.5138	2.111475
273	1	-927.9198	-1059.426	131.5062	2.119056
