Iteration	Posterior	Likelihood	Prior	tree_length
1320	-924.5791	-1055.888	131.3093	2.31602
1330	-914.4735	-1046.184	131.7101	1.915191
1340	-932.2538	-1063.766	131.5122	2.113031
1350	-923.7807	-1055.413	131.6321	1.993217
1360	-927.9198	-1059.426	131.5062	2.119056
1370	-911.4676	-1043.174	131.7064	1.91883
1380	-929.7365	-1061.465	131.7283	1.896933
1390	-918.8339	-1050.56	131.7263	1.898983
1400	-930.5538	-1062.131	131.5773	2.047959
1410	-936.2521	-1067.872	131.6199	2.005342
1420	-939.01	-1070.65	131.6405	1.984785
1430	-929.149	-1060.939	131.79	1.835242
1440	-925.0425	-1056.831	131.789	1.836292
1450	-919.8558	-1051.582	131.7265	1.898808
1460	-931.1873	-1062.914	131.7265	1.898808
1470	-935.6473	-1067.259	131.612	2.013282
1480	-926.1595	-1058.103	131.9433	1.68197
1490	-928.0227	-1059.328	131.3056	2.319632
1500	-928.1606	-1060.055	131.8942	1.731121
1510	-933.5442	-1064.901	131.3569	2.268331
1520	-932.5128	-1063.873	131.3598	2.265496
1530	-920.1869	-1051.918	131.7308	1.894462
1540	-926.9718	-1058.748	131.7765	1.848798
1550	-921.4169	-1052.728	131.3112	2.31406
1560	-924.3741	-1056.224	131.8496	1.775665
1570	-920.0744	-1051.811	131.737	1.888329
1580	-936.3679	-1067.809	131.4415	2.18375
1590	-914.6777	-1046.187	131.5098	2.115526
1600	-928.1964	-1060.015	131.8181	1.807166
1610	-917.0093	-1048.539	131.53	2.095276
1620	-920.9701	-1052.777	131.807	1.818314
1630	-916.3535	-1048.226	131.8725	1.752812
1640	-920.7196	-1051.972	131.2522	2.373077
1650	-917.9097	-1049.574	131.6639	1.961371
1660	-918.4692	-1050.231	131.7622	1.863061
1670	-930.0406	-1061.499	131.4583	2.166973
1680	-918.7496	-1050.706	131.9568	1.66845
1690	-923.6602	-1055.254	131.5937	2.03158
1700	-926.748	-1058.342	131.5937	2.03158
1710	-919.7551	-1051.46	131.7045	1.920807
1720	-926.2586	-1057.918	131.659	1.966258
1730	-937.1336	-1068.726	131.5926	2.0327
1740	-926.2325	-1057.472	131.2393	2.385974
1750	-921.0049	-1052.699	131.6937	1.931567
1760	-921.8709	-1053.153	131.2824	2.342873
1770	-916.8556	-1048.221	131.3658	2.259489
1780	-917.8469	-1049.709	131.8618	1.763525
1790	-918.5477	-1050.266	131.7179	1.9074
1800	-925.5544	-1057.352	131.7981	1.827192
1810	-938.0969	-1069.759	131.6616	1.963639
1820	-929.7999	-1061.594	131.7945	1.830753
1830	-924.9356	-1056.526	131.5906	2.034654
1840	-932.5581	-1064.241	131.6825	1.942735
1850	-920.2516	-1052.263	132.0111	1.614193
1860	-917.0218	-1048.892	131.8701	1.755169
1870	-922.7896	-1054.572	131.7825	1.842761
1880	-932.427	-1064.055	131.6279	1.99734
1890	-927.0684	-1058.652	131.5833	2.042007
1900	-940.5022	-1072.238	131.736	1.889323
1910	-930.3864	-1061.68	131.2938	2.331503
1920	-919.9603	-1051.719	131.7588	1.866472
1930	-930.4945	-1062.365	131.8706	1.754668
1940	-925.4902	-1056.954	131.4641	2.161147
1950	-926.3604	-1058.123	131.7628	1.862459
1960	-922.6766	-1054.283	131.6066	2.018652
1970	-922.2373	-1053.696	131.4588	2.166455
1980	-929.1065	-1060.746	131.6392	1.986035
1990	-925.9152	-1057.238	131.3225	2.302755
2000	-929.703	-1061.435	131.7317	1.893618
2010	-917.5467	-1049.05	131.5034	2.12184
2020	-932.6832	-1064.284	131.6009	2.024422
2030	-928.0383	-1059.604	131.5661	2.059208
2040	-918.2423	-1050.237	131.9943	1.630997
2050	-920.7134	-1052.105	131.3917	2.233562
2060	-910.8697	-1042.345	131.4753	2.149947
2070	-925.5231	-1057.292	131.769	1.856327
2080	-920.8148	-1052.194	131.3792	2.246069
2090	-931.2504	-1062.922	131.6719	1.953343
2100	-918.4166	-1049.98	131.5638	2.061459
2110	-921.1708	-1052.756	131.5852	2.040041
2120	-927.9747	-1059.89	131.9158	1.709513
2130	-913.3773	-1045.293	131.9158	1.709513
2140	-926.6098	-1058.067	131.4575	2.16776
2150	-939.618	-1071.207	131.5887	2.036578
2160	-931.3091	-1062.72	131.411	2.214271
2170	-929.2105	-1060.892	131.6815	1.943761
2180	-931.6455	-1063.327	131.6815	1.943761
2190	-938.6125	-1069.834	131.222	2.403325
2200	-922.1986	-1054.182	131.9836	1.641658
2210	-926.0278	-1057.413	131.385	2.240306
2220	-920.9025	-1052.817	131.9149	1.710347
2230	-918.4345	-1049.81	131.3753	2.24999
2240	-910.6002	-1042.184	131.5842	2.041111
2250	-916.2799	-1047.86	131.5803	2.044977
2260	-917.8627	-1049.432	131.5693	2.055951
2270	-928.5409	-1060.209	131.6678	1.957525
2280	-930.5102	-1062.017	131.5067	2.118608
2290	-919.7174	-1051.206	131.4886	2.136658
2300	-934.6435	-1066.11	131.4662	2.159077
2310	-937.2384	-1068.942	131.704	1.921269
2320	-927.0324	-1058.697	131.6643	1.961007
2330	-925.9744	-1057.86	131.8854	1.739845
2340	-919.5356	-1051.375	131.8398	1.785457
2350	-931.7215	-1063	131.279	2.346311
2360	-931.3543	-1063.068	131.714	1.911232
2370	-918.9597	-1050.629	131.6689	1.9564
2380	-918.7841	-1050.261	131.4771	2.148159
2390	-917.4929	-1049.171	131.678	1.947322
2400	-922.6468	-1054.278	131.6308	1.994461
2410	-920.0933	-1051.735	131.642	1.983272
2420	-923.5539	-1055.32	131.7658	1.859477
2430	-923.5135	-1055.072	131.5582	2.067076
2440	-924.4245	-1056.019	131.595	2.030304
2450	-924.7986	-1056.121	131.3219	2.303371
2460	-917.4344	-1049.042	131.6078	2.01749
2470	-924.479	-1055.856	131.3772	2.248097
2480	-934.6836	-1066.462	131.7787	1.8466
2490	-927.7431	-1059.734	131.9908	1.634486
2500	-910.6029	-1042.093	131.4904	2.134852
2510	-915.1516	-1046.757	131.6052	2.020129
2520	-912.7374	-1044.285	131.548	2.07731
2530	-914.1988	-1045.626	131.4274	2.197836
2540	-926.8254	-1058.337	131.5119	2.113358
2550	-928.2562	-1059.619	131.3632	2.262109
2560	-920.1244	-1051.959	131.8345	1.790765
2570	-914.5788	-1046.336	131.7571	1.868138
2580	-924.4518	-1056.077	131.6247	2.00055
2590	-930.2941	-1061.905	131.611	2.014302
2600	-926.5114	-1057.661	131.1491	2.476197
2610	-912.6495	-1044.051	131.4011	2.224215
2620	-922.3062	-1053.773	131.4672	2.158069
2630	-926.4671	-1058.354	131.887	1.738273
2640	-916.6325	-1048.409	131.7761	1.849161
2650	-923.8773	-1055.389	131.5122	2.113069
2660	-919.5802	-1051.31	131.7298	1.895471
2670	-923.0013	-1054.892	131.8911	1.734165
2680	-921.2966	-1052.846	131.5497	2.075622
2690	-925.3371	-1057.201	131.8634	1.761839
2700	-918.5901	-1050.356	131.7658	1.859461
2710	-918.6681	-1050.239	131.5706	2.054659
2720	-914.5554	-1045.878	131.3224	2.30286
2730	-920.3632	-1052.325	131.962	1.663313
2740	-933.9542	-1065.369	131.4148	2.210445
2750	-923.7516	-1055.131	131.379	2.246307
2760	-928.4211	-1060.271	131.8501	1.775219
2770	-923.445	-1054.774	131.329	2.296264
2780	-924.3838	-1056.283	131.899	1.726271
2790	-930.7729	-1062.424	131.6515	1.973794
2800	-914.8977	-1046.807	131.9098	1.715464
2810	-931.7765	-1063.4	131.6237	2.001598
2820	-924.8205	-1056.549	131.7285	1.896773
2830	-930.5555	-1062.485	131.9291	1.696206
2840	-934.3331	-1065.938	131.6052	2.020032
2850	-923.6384	-1055.135	131.4963	2.128992
2860	-918.0907	-1049.494	131.4036	2.221681
2870	-915.3648	-1046.891	131.5259	2.099382
2880	-916.481	-1048.196	131.7151	1.910162
2890	-923.8804	-1055.5	131.6192	2.00611
2900	-927.9612	-1059.445	131.4842	2.141067
2910	-929.1302	-1060.726	131.5962	2.029059
2920	-928.315	-1059.732	131.417	2.208234
2930	-933.4665	-1064.89	131.423	2.202313
2940	-936.1325	-1067.577	131.445	2.180326
2950	-926.068	-1057.782	131.7145	1.910778
2960	-938.9176	-1070.446	131.5284	2.096895
2970	-923.7498	-1055.055	131.305	2.320241
2980	-929.7755	-1061.284	131.5082	2.11709
2990	-931.8296	-1063.652	131.8221	1.803139
3000	-938.7328	-1070.223	131.4899	2.135341
3010	-934.8539	-1066.249	131.3952	2.230062
3020	-936.9077	-1068.293	131.3857	2.239618
3030	-939.9597	-1071.661	131.7014	1.923908
3040	-934.7636	-1066.008	131.2443	2.380939
3050	-935.5163	-1067.233	131.7171	1.908201
3060	-933.6165	-1065.342	131.7256	1.8997
3070	-927.941	-1059.792	131.8513	1.773964
3080	-937.1791	-1069.033	131.8543	1.771025
3090	-916.8796	-1048.351	131.4717	2.153615
3100	-925.0086	-1056.699	131.6904	1.934839
3110	-924.5898	-1056.21	131.6199	2.005364
3120	-928.4848	-1059.882	131.3977	2.227605
3130	-930.6707	-1062.424	131.7532	1.872043
3140	-926.0163	-1057.644	131.6277	1.997597
3150	-940.2634	-1072.23	131.9668	1.658515
3160	-935.5006	-1066.899	131.3986	2.226678
3170	-924.8616	-1056.446	131.5849	2.040358
3180	-926.7126	-1058.285	131.5721	2.053204
3190	-938.3109	-1069.667	131.3564	2.268882
3200	-931.3846	-1062.775	131.3905	2.234791
3210	-920.5255	-1052.106	131.5801	2.045138
3220	-930.557	-1062.158	131.6012	2.02403
3230	-915.0267	-1046.692	131.6656	1.959676
3240	-915.1472	-1046.837	131.6896	1.935702
3250	-923.8987	-1055.288	131.3891	2.236158
3260	-931.5699	-1063.17	131.6	2.02526
3270	-929.1595	-1060.943	131.7837	1.841562
3280	-935.2771	-1066.803	131.5262	2.099082
3290	-928.9114	-1060.464	131.5527	2.072534
3300	-935.2321	-1066.959	131.7266	1.898642
3310	-934.7511	-1066.07	131.3185	2.306819
3320	-934.2788	-1066.196	131.9176	1.707708
3330	-921.9925	-1053.849	131.8562	1.769035
3340	-920.6485	-1052.279	131.6308	1.994489
3350	-933.2536	-1064.859	131.6057	2.019606
3360	-928.3141	-1060.054	131.7394	1.885847
3370	-919.3152	-1051.032	131.7171	1.908172
3380	-921.2722	-1052.773	131.5008	2.124452
3390	-915.3274	-1046.989	131.6621	1.96321
3400	-921.7706	-1053.409	131.6382	1.987053
3410	-929.8992	-1061.58	131.6805	1.944735
3420	-930.0255	-1061.556	131.53	2.095249
3430	-921.3258	-1052.666	131.3397	2.285563
3440	-911.7725	-1043.531	131.7587	1.866569
3450	-927.9375	-1060.074	132.1369	1.4884
3460	-936.9485	-1068.132	131.1835	2.441751
3470	-913.6562	-1045.203	131.5464	2.078853
3480	-931.9505	-1063.434	131.4835	2.141784
3490	-926.0957	-1057.978	131.8825	1.742762
3500	-933.6045	-1065.599	131.9941	1.631149
3510	-923.4156	-1055.32	131.9041	1.721193
3520	-939.5211	-1071.073	131.5521	2.073165
3530	-931.0725	-1062.845	131.773	1.852327
3540	-926.9212	-1058.566	131.6447	1.980551
3550	-926.216	-1057.721	131.5047	2.120628
3560	-917.7723	-1049.43	131.6579	1.967383
3570	-927.252	-1058.629	131.3768	2.24846
3580	-930.9679	-1062.704	131.7358	1.889477
3590	-926.4171	-1058.219	131.8022	1.823041
3600	-921.7985	-1053.429	131.6302	1.995033
3610	-929.3722	-1061.002	131.6302	1.995033
3620	-933.5939	-1065.32	131.7264	1.898911
3630	-929.8105	-1061.528	131.7179	1.907363
3640	-920.4383	-1051.922	131.4836	2.141666
3650	-936.2113	-1067.995	131.7837	1.841574
3660	-929.2019	-1060.665	131.4631	2.16221
3670	-932.409	-1064.163	131.7541	1.871187
3680	-930.3757	-1062.03	131.6545	1.970827
3690	-935.9223	-1067.258	131.3362	2.289096
3700	-944.4423	-1075.798	131.3561	2.269225
3710	-928.7945	-1060.686	131.8917	1.733612
3720	-934.3637	-1065.802	131.4378	2.187486
3730	-932.6387	-1064.172	131.5337	2.091628
3740	-937.2121	-1068.715	131.5031	2.122138
3750	-934.3334	-1065.973	131.6399	1.985381
3760	-941.1506	-1072.593	131.4421	2.183182
3770	-921.3621	-1052.824	131.4623	2.162993
3780	-930.7109	-1062.301	131.5898	2.035437
3790	-930.455	-1062.229	131.7742	1.851128
3800	-930.9278	-1062.572	131.6445	1.980775
3810	-920.1209	-1051.77	131.649	1.976298
3820	-921.074	-1052.736	131.6618	1.963457
3830	-932.1025	-1063.541	131.4385	2.186786
3840	-938.4322	-1069.73	131.2977	2.327565
3850	-928.4539	-1060.286	131.8322	1.793113
3860	-935.4788	-1067.227	131.7483	1.876961
3870	-916.902	-1048.755	131.853	1.772272
3880	-919.8516	-1051.378	131.5262	2.099103
3890	-920.3617	-1052.245	131.8834	1.74192
3900	-935.3443	-1067.094	131.7492	1.87604
3910	-934.4746	-1066.281	131.8067	1.818549
3920	-932.2061	-1063.827	131.6212	2.004054
3930	-934.5992	-1066.096	131.4971	2.128183
3940	-935.6639	-1067.318	131.6541	1.971163
3950	-935.9175	-1067.36	131.4427	2.182565
3960	-931.3216	-1062.85	131.5281	2.097179
3970	-928.9688	-1060.669	131.7005	1.924813
3980	-929.3801	-1060.945	131.5645	2.060759
3990	-935.1396	-1066.905	131.7654	1.859924
4000	-929.5531	-1061.261	131.7079	1.917373
4010	-933.4774	-1065.221	131.7433	1.881971
4020	-924.6343	-1056.172	131.5374	2.087874
4030	-924.7461	-1056.223	131.4772	2.148112
4040	-936.0544	-1067.561	131.5069	2.118353
4050	-918.2103	-1050.023	131.8122	1.813092
4060	-917.7429	-1049.578	131.8349	1.790415
4070	-925.9093	-1057.31	131.4012	2.224072
4080	-923.735	-1055.439	131.7038	1.921483
4090	-928.2351	-1059.731	131.4964	2.128918
4100	-931.0397	-1062.755	131.7149	1.910398
4110	-927.8281	-1059.753	131.9251	1.700215
4120	-924.4387	-1055.865	131.4267	2.198616
4130	-922.9219	-1054.607	131.6852	1.940071
4140	-916.6843	-1048.283	131.5992	2.026119
4150	-925.997	-1057.532	131.535	2.090246
4160	-925.8713	-1057.369	131.4981	2.127227
4170	-925.0887	-1056.804	131.7157	1.909626
4180	-926.1058	-1057.821	131.7148	1.91051
4190	-926.7907	-1058.297	131.5066	2.11866
4200	-928.3722	-1060.077	131.705	1.920324
4210	-929.3702	-1061.149	131.7791	1.846142
4220	-924.1491	-1055.988	131.8387	1.786618
4230	-920.7167	-1052.107	131.3901	2.235191
4240	-918.2752	-1049.786	131.5111	2.114203
4250	-915.2473	-1046.869	131.6221	2.003182
4260	-936.0011	-1067.948	131.9472	1.678073
4270	-919.0654	-1050.76	131.6949	1.930395
4280	-928.6852	-1060.257	131.5717	2.053572
4290	-925.0255	-1056.583	131.557	2.068248
4300	-923.7541	-1055.32	131.5662	2.059058
4310	-927.7752	-1059.479	131.7041	1.921199
4320	-925.0076	-1056.401	131.3935	2.231821
4330	-932.547	-1064.107	131.5598	2.065513
4340	-921.835	-1053.401	131.5656	2.059674
4350	-930.3417	-1062.125	131.7831	1.842165
4360	-932.6016	-1064.404	131.8023	1.823004
4370	-921.5003	-1052.902	131.4014	2.223831
4380	-930.9783	-1062.452	131.4739	2.15139
