Iteration	Replicate_ID	Posterior	Likelihood	Prior	tree_length
122	0	-985.9135	-1015.706	29.79282	4.989135
123	1	-990.7117	-1020.983	30.27096	4.510994
124	0	-985.5999	-1016.027	30.42759	4.354362
125	1	-986.3767	-1017.044	30.66717	4.114785
126	0	-988.0897	-1018.052	29.96209	4.819859
127	1	-986.5319	-1016.367	29.83546	4.946495
128	0	-981.6258	-1011.229	29.60314	5.178811
129	1	-983.7296	-1013.801	30.07101	4.710944
130	0	-983.5716	-1013.718	30.14595	4.636003
131	1	-986.6221	-1016.371	29.74909	5.03286
132	0	-985.5595	-1015.422	29.86226	4.919689
133	1	-983.8862	-1014.521	30.63508	4.146878
134	0	-981.0584	-1011.247	30.18868	4.593272
135	1	-985.3494	-1015.818	30.46868	4.313273
136	0	-980.104	-1010.446	30.34172	4.440229
137	1	-985.0658	-1014.982	29.91614	4.865816
138	0	-987.5785	-1018.196	30.61717	4.164788
139	1	-987.6635	-1017.305	29.64124	5.140711
140	0	-982.2789	-1012.29	30.01161	4.770344
141	1	-988.7461	-1019.212	30.46574	4.316215
142	0	-991.2153	-1021	29.78514	4.996815
143	1	-987.8422	-1017.471	29.62903	5.152927
144	0	-985.9234	-1016.476	30.55282	4.229131
145	1	-989.2117	-1019.438	30.2263	4.555655
146	0	-985.8096	-1016.053	30.24353	4.538423
147	1	-981.4236	-1011.637	30.21332	4.568631
148	0	-992.226	-1022.144	29.9185	4.86345
149	1	-989.4132	-1018.984	29.57104	5.210912
150	0	-989.4816	-1019.324	29.84216	4.939796
151	1	-988.1523	-1017.813	29.66098	5.120968
152	0	-983.6434	-1014.492	30.84873	3.933218
153	1	-998.2198	-1027.049	28.82913	5.952826
154	0	-996.6026	-1026.497	29.89407	4.887881
155	1	-995.7496	-1025.477	29.7272	5.054753
156	0	-985.206	-1015.467	30.2611	4.520856
157	1	-986.72	-1017.077	30.35749	4.424467
158	0	-990.6165	-1020.473	29.85691	4.925042
159	1	-987.8289	-1017.704	29.8748	4.907149
160	0	-981.5215	-1012.273	30.75179	4.030165
161	1	-989.8369	-1019.077	29.24022	5.541737
162	0	-985.255	-1015.516	30.26067	4.52128
163	1	-988.0535	-1017.903	29.84916	4.932797
164	0	-987.5694	-1017.777	30.20718	4.574768
165	1	-991.9906	-1021.318	29.32698	5.454977
166	0	-986.8332	-1017.823	30.99	3.791955
167	1	-987.2031	-1016.785	29.58201	5.199946
168	0	-984.7004	-1015.829	31.12867	3.653279
169	1	-984.4589	-1014.796	30.33686	4.445096
170	0	-989.549	-1019.339	29.78979	4.992162
171	1	-985.392	-1015.729	30.33686	4.445096
172	0	-987.956	-1018.073	30.1167	4.665255
173	1	-983.0076	-1012.901	29.89327	4.888681
174	0	-982.9547	-1012.73	29.77538	5.006577
175	1	-980.1824	-1010.889	30.70672	4.075235
176	0	-986.64	-1016.814	30.17436	4.607596
177	1	-982.158	-1012.715	30.5571	4.224858
178	0	-984.3104	-1014.127	29.81663	4.965324
179	1	-986.9114	-1017.494	30.58246	4.199493
180	0	-991.4207	-1021.212	29.79163	4.990323
181	1	-981.0662	-1011.321	30.255	4.526951
182	0	-990.085	-1020.683	30.59829	4.18366
183	1	-982.6835	-1013.014	30.33058	4.45137
184	0	-981.8372	-1012.044	30.20656	4.575394
185	1	-982.6435	-1012.997	30.35336	4.428594
186	0	-986.6755	-1017.101	30.42547	4.356485
187	1	-980.0241	-1010.152	30.12803	4.653926
188	0	-985.2164	-1016.079	30.86293	3.919023
189	1	-983.0088	-1012.846	29.8376	4.944357
190	0	-983.1491	-1013.351	30.20189	4.580064
191	1	-984.5931	-1015.097	30.50412	4.277831
192	0	-991.7159	-1021.878	30.16259	4.619363
193	1	-978.8715	-1008.794	29.92293	4.859023
194	0	-981.0446	-1011.374	30.32898	4.45297
195	1	-988.3576	-1018.775	30.41722	4.364733
196	0	-978.9087	-1009.183	30.27428	4.50767
197	1	-991.9985	-1022.189	30.19089	4.591067
198	0	-985.2446	-1015.385	30.14062	4.641332
199	1	-986.8135	-1017.514	30.70055	4.081407
200	0	-986.061	-1016.601	30.53986	4.242089
201	1	-983.3935	-1012.79	29.39637	5.385587
202	0	-993.2698	-1022.617	29.34703	5.43492
203	1	-980.9293	-1011.314	30.38449	4.397464
204	0	-993.2487	-1023.873	30.6243	4.157651
205	1	-983.3962	-1013.661	30.26445	4.517505
206	0	-985.0696	-1014.84	29.77021	5.01174
207	1	-984.6648	-1014.924	30.25884	4.52311
208	0	-979.3899	-1009.725	30.33515	4.446808
209	1	-981.9337	-1012.782	30.84859	3.933362
210	0	-984.898	-1014.982	30.08369	4.698266
211	1	-990.9021	-1021.257	30.35447	4.427484
212	0	-983.2664	-1013.834	30.5674	4.214558
213	1	-986.2427	-1016.33	30.08741	4.694546
214	0	-983.5281	-1013.551	30.0229	4.759048
215	1	-987.862	-1017.729	29.86691	4.915044
216	0	-982.6398	-1013.544	30.90387	3.878078
217	1	-983.6564	-1013.622	29.96522	4.816737
218	0	-985.7746	-1016.005	30.23029	4.551666
219	1	-989.0326	-1019.312	30.27965	4.502301
220	0	-981.1602	-1011.302	30.14163	4.640319
221	1	-986.5504	-1017.09	30.53925	4.242707
222	0	-979.5198	-1010.133	30.61316	4.16879
223	1	-986.1751	-1016.751	30.57554	4.206408
224	0	-982.6294	-1012.788	30.15877	4.623183
225	1	-982.5172	-1013.378	30.86102	3.920934
226	0	-985.1218	-1016.135	31.01286	3.769091
227	1	-981.8152	-1012.328	30.5127	4.269251
228	0	-980.3643	-1010.736	30.37181	4.410144
229	1	-987.7862	-1018.456	30.67022	4.111737
230	0	-988.183	-1018.37	30.187	4.594948
231	1	-990.9473	-1021.354	30.40696	4.374993
232	0	-991.7445	-1021.672	29.92764	4.854313
233	1	-983.8194	-1014.177	30.35775	4.424202
234	0	-983.6368	-1013.808	30.17168	4.610272
235	1	-986.2625	-1016.998	30.73589	4.046068
236	0	-983.3835	-1013.886	30.50238	4.279569
237	1	-992.5491	-1022.588	30.03865	4.743304
238	0	-986.8626	-1017.354	30.49132	4.290632
239	1	-983.8736	-1013.608	29.73465	5.047299
240	0	-989.2618	-1019.344	30.08203	4.699919
241	1	-988.1183	-1018.148	30.03008	4.751878
242	0	-985.0841	-1015.593	30.50903	4.272927
243	1	-988.859	-1019.624	30.76458	4.017378
244	0	-987.7575	-1017.486	29.72859	5.053368
245	1	-984.9275	-1015.466	30.539	4.242951
246	0	-984.7783	-1015.108	30.32923	4.452728
247	1	-987.5378	-1018.051	30.51351	4.268443
248	0	-988.6748	-1018.769	30.094	4.687956
249	1	-980.5758	-1010.962	30.38628	4.39567
250	0	-986.7277	-1016.362	29.63389	5.148066
251	1	-985.4429	-1015.262	29.81921	4.962747
252	0	-987.7806	-1018.432	30.6513	4.130654
253	1	-985.0025	-1015.156	30.15397	4.627988
254	0	-986.3265	-1016.881	30.55468	4.227273
255	1	-982.8092	-1012.928	30.11851	4.663445
256	0	-985.5737	-1016.229	30.65493	4.12702
257	1	-995.759	-1025.321	29.56199	5.219961
258	0	-990.625	-1021.527	30.90213	3.87982
259	1	-982.5624	-1013.052	30.48943	4.292522
260	0	-989.5484	-1020.029	30.48039	4.301563
261	1	-982.844	-1013.22	30.37643	4.405525
262	0	-986.497	-1016.81	30.31341	4.468547
263	1	-988.0131	-1017.574	29.56053	5.221426
264	0	-988.2625	-1018.771	30.50874	4.273212
265	1	-987.66	-1016.731	29.07128	5.710678
266	0	-990.7624	-1021.22	30.45721	4.324745
267	1	-988.0043	-1017.418	29.41384	5.368109
268	0	-990.7429	-1021.625	30.88211	3.899846
269	1	-984.9423	-1014.924	29.982	4.799948
270	0	-986.1109	-1016.45	30.33952	4.442435
271	1	-980.9634	-1011.366	30.40264	4.379312
272	0	-987.1166	-1017.26	30.14317	4.638782
273	1	-981.6165	-1011.82	30.20331	4.578639
274	0	-988.2278	-1019.194	30.96642	3.815532
275	1	-981.8704	-1012.288	30.41763	4.364322
276	0	-991.9416	-1021.658	29.71606	5.065889
277	1	-980.6061	-1010.945	30.33881	4.443139
278	0	-980.3321	-1011.27	30.93765	3.8443
279	1	-987.1497	-1017.489	30.33881	4.443139
280	0	-988.2632	-1018.283	30.01962	4.762332
281	1	-986.3052	-1016.996	30.69112	4.090833
282	0	-979.576	-1009.547	29.97056	4.811393
283	1	-987.3264	-1017.611	30.28469	4.497265
284	0	-992.819	-1023.18	30.3606	4.421357
285	1	-993.5237	-1024.085	30.56121	4.220738
286	0	-987.1341	-1017.184	30.04946	4.732493
287	1	-994.5028	-1024.862	30.35936	4.422592
288	0	-985.6188	-1016.253	30.63456	4.147389
289	1	-987.4372	-1017.083	29.6456	5.136356
290	0	-985.092	-1015.472	30.37961	4.402347
291	1	-985.6451	-1015.715	30.0698	4.712153
292	0	-982.925	-1013.08	30.15538	4.626571
293	1	-987.4977	-1017.809	30.3111	4.470853
294	0	-992.0125	-1021.539	29.52679	5.255164
295	1	-993.6087	-1023.799	30.19061	4.591344
296	0	-980.8211	-1010.842	30.02132	4.760633
297	1	-989.4117	-1019.546	30.13404	4.647909
298	0	-986.9899	-1017.685	30.69527	4.086682
299	1	-984.5994	-1015.011	30.41213	4.369819
300	0	-988.9866	-1018.778	29.79099	4.990968
301	1	-982.7099	-1012.822	30.11224	4.669709
302	0	-985.7698	-1015.975	30.20519	4.576768
303	1	-981.2898	-1011.322	30.03219	4.749761
304	0	-983.7165	-1013.916	30.1996	4.582353
305	1	-986.3544	-1015.942	29.58799	5.193959
306	0	-984.7768	-1015.095	30.3185	4.463453
307	1	-987.75	-1018.227	30.47732	4.304633
308	0	-981.9035	-1012.232	30.32812	4.453831
309	1	-981.9772	-1012.718	30.74043	4.041527
310	0	-980.2117	-1010.573	30.36143	4.420518
311	1	-984.4804	-1015.354	30.87322	3.908734
312	0	-985.6597	-1015.405	29.74492	5.037031
313	1	-990.1762	-1020.916	30.73979	4.042159
314	0	-987.5069	-1017.679	30.1725	4.609455
315	1	-985.681	-1015.908	30.22653	4.55542
316	0	-987.273	-1017.645	30.37221	4.409744
317	1	-987.4473	-1017.331	29.88334	4.89861
318	0	-984.64	-1014.406	29.76575	5.016204
319	1	-981.8203	-1011.533	29.7128	5.069154
320	0	-984.4708	-1014.334	29.86367	4.918286
321	1	-987.8999	-1018.76	30.86025	3.921704
322	0	-988.9399	-1018.768	29.82825	4.953701
323	1	-987.7321	-1017.879	30.14696	4.63499
324	0	-989.8315	-1020.436	30.60433	4.17762
325	1	-985.7349	-1015.7	29.96548	4.816478
326	0	-985.7964	-1015.96	30.16358	4.61837
327	1	-982.8113	-1013.747	30.93576	3.846193
