Iteration	Posterior	Likelihood	Prior	tree_length
1320	-988.2625	-1018.771	30.50874	4.273212
1330	-990.7624	-1021.22	30.45721	4.324745
1340	-990.7429	-1021.625	30.88211	3.899846
1350	-986.1109	-1016.45	30.33952	4.442435
1360	-987.1166	-1017.26	30.14317	4.638782
1370	-988.2278	-1019.194	30.96642	3.815532
1380	-991.9416	-1021.658	29.71606	5.065889
1390	-980.3321	-1011.27	30.93765	3.8443
1400	-988.2632	-1018.283	30.01962	4.762332
1410	-979.576	-1009.547	29.97056	4.811393
1420	-992.819	-1023.18	30.3606	4.421357
1430	-987.1341	-1017.184	30.04946	4.732493
1440	-985.6188	-1016.253	30.63456	4.147389
1450	-985.092	-1015.472	30.37961	4.402347
1460	-982.925	-1013.08	30.15538	4.626571
1470	-992.0125	-1021.539	29.52679	5.255164
1480	-980.8211	-1010.842	30.02132	4.760633
1490	-986.9899	-1017.685	30.69527	4.086682
1500	-988.9866	-1018.778	29.79099	4.990968
1510	-985.7698	-1015.975	30.20519	4.576768
1520	-983.7165	-1013.916	30.1996	4.582353
1530	-984.7768	-1015.095	30.3185	4.463453
1540	-981.9035	-1012.232	30.32812	4.453831
1550	-980.2117	-1010.573	30.36143	4.420518
1560	-985.6597	-1015.405	29.74492	5.037031
1570	-987.5069	-1017.679	30.1725	4.609455
1580	-987.273	-1017.645	30.37221	4.409744
1590	-984.64	-1014.406	29.76575	5.016204
1600	-984.4708	-1014.334	29.86367	4.918286
1610	-988.9399	-1018.768	29.82825	4.953701
1620	-989.8315	-1020.436	30.60433	4.17762
1630	-985.7964	-1015.96	30.16358	4.61837
1640	-988.0462	-1018.184	30.1381	4.643852
1650	-982.5522	-1013.244	30.69143	4.090526
1660	-982.8868	-1013.185	30.29813	4.483821
1670	-983.2554	-1012.91	29.65416	5.127795
1680	-979.1153	-1009.212	30.09627	4.685682
1690	-983.8706	-1014.301	30.43066	4.351292
1700	-980.3214	-1010.771	30.44982	4.332131
1710	-987.5654	-1017.395	29.82915	4.9528
1720	-987.3458	-1017.535	30.18918	4.592771
1730	-995.7797	-1026.345	30.5658	4.216155
1740	-989.0022	-1019.338	30.33543	4.446525
1750	-987.3626	-1017.279	29.91657	4.865382
1760	-984.9219	-1015.565	30.64277	4.139179
1770	-988.2806	-1018.426	30.14494	4.637015
1780	-979.8056	-1010.141	30.33522	4.446732
1790	-983.7534	-1013.952	30.19812	4.583835
1800	-977.9405	-1008.39	30.44903	4.332922
1810	-984.9929	-1014.84	29.84695	4.935007
1820	-987.2471	-1017.691	30.4437	4.338258
1830	-983.9422	-1014.143	30.20061	4.581341
1840	-984.6525	-1015.16	30.50796	4.273996
1850	-986.5975	-1016.149	29.55196	5.229994
1860	-982.7007	-1012.602	29.90152	4.880437
