Iteration	Posterior	Likelihood	Prior	tree_length
0	-980.3019	-1011.107	30.80504	3.976914
10	-985.8803	-1016.148	30.26755	4.514407
20	-986.7121	-1016.232	29.51943	5.262524
30	-989.9567	-1020.587	30.62983	4.152124
40	-982.9824	-1013.127	30.14507	4.636886
50	-982.2379	-1012.657	30.41911	4.362847
60	-985.428	-1015.247	29.81864	4.963313
70	-984.6593	-1014.639	29.97996	4.801993
80	-991.0287	-1021.243	30.21406	4.56789
90	-988.2237	-1018.602	30.37846	4.403496
100	-990.0954	-1020.166	30.07095	4.711
110	-981.3834	-1011.407	30.02395	4.758006
120	-981.7457	-1012.447	30.70165	4.080307
130	-986.4654	-1016.823	30.35739	4.424561
140	-982.0414	-1012.443	30.40152	4.380431
150	-984.0265	-1014.784	30.75725	4.0247
160	-984.5377	-1015.089	30.551	4.230952
170	-994.766	-1025.454	30.68801	4.093945
180	-988.9103	-1019.424	30.51363	4.268318
190	-985.7355	-1015.976	30.24087	4.541088
200	-988.4492	-1019.098	30.64852	4.133433
210	-987.5253	-1018.447	30.92127	3.860678
220	-983.313	-1013.865	30.55246	4.229491
230	-987.0014	-1016.629	29.62779	5.154164
240	-987.7267	-1018.131	30.40455	4.377399
250	-988.4502	-1018.886	30.43568	4.346278
260	-985.6863	-1016.098	30.41143	4.370526
270	-985.8252	-1016.504	30.67871	4.103242
280	-986.0018	-1016.588	30.58649	4.195459
290	-988.0606	-1018.812	30.75126	4.030688
300	-983.0724	-1013.548	30.47582	4.306132
310	-985.4926	-1016.11	30.61781	4.164142
320	-983.4634	-1013.199	29.7353	5.046648
330	-982.8372	-1013.649	30.81208	3.969877
340	-985.9023	-1016.373	30.47083	4.311123
350	-986.9803	-1017.39	30.41003	4.371919
360	-986.4691	-1016.809	30.33955	4.442398
370	-996.3456	-1026.337	29.99131	4.790644
380	-990.3125	-1019.919	29.60628	5.175669
390	-990.9149	-1020.766	29.85151	4.930442
400	-987.6786	-1017.888	30.20964	4.572312
410	-987.8633	-1017.635	29.77155	5.0104
420	-985.3096	-1014.833	29.52315	5.2588
430	-982.9655	-1013.226	30.26079	4.521162
440	-982.3001	-1012.18	29.87938	4.902568
450	-987.0436	-1016.975	29.93141	4.850547
460	-988.1461	-1017.951	29.80457	4.977385
470	-986.6409	-1016.347	29.70621	5.075738
480	-982.8648	-1013.24	30.37471	4.407246
490	-980.7683	-1011.234	30.46538	4.316576
500	-985.1445	-1014.863	29.71902	5.062931
510	-987.8232	-1017.596	29.77302	5.008937
520	-987.6846	-1017.585	29.90053	4.881421
530	-982.3725	-1013.033	30.66056	4.121394
540	-987.49	-1016.953	29.4626	5.319355
550	-982.6356	-1012.681	30.04593	4.736023
560	-981.6488	-1012.087	30.43825	4.343704
570	-988.7967	-1018.338	29.54104	5.240912
580	-986.4563	-1016.641	30.18477	4.597188
590	-992.8403	-1023.003	30.16245	4.619506
600	-988.7005	-1018.748	30.04759	4.734367
610	-990.7117	-1020.983	30.27096	4.510994
620	-986.3767	-1017.044	30.66717	4.114785
630	-986.5319	-1016.367	29.83546	4.946495
640	-983.7296	-1013.801	30.07101	4.710944
650	-986.6221	-1016.371	29.74909	5.03286
660	-983.8862	-1014.521	30.63508	4.146878
670	-985.3494	-1015.818	30.46868	4.313273
680	-985.0658	-1014.982	29.91614	4.865816
690	-987.6635	-1017.305	29.64124	5.140711
700	-988.7461	-1019.212	30.46574	4.316215
710	-987.8422	-1017.471	29.62903	5.152927
720	-989.2117	-1019.438	30.2263	4.555655
730	-981.4236	-1011.637	30.21332	4.568631
740	-989.4132	-1018.984	29.57104	5.210912
750	-988.1523	-1017.813	29.66098	5.120968
760	-998.2198	-1027.049	28.82913	5.952826
770	-995.7496	-1025.477	29.7272	5.054753
780	-986.72	-1017.077	30.35749	4.424467
790	-987.8289	-1017.704	29.8748	4.907149
800	-989.8369	-1019.077	29.24022	5.541737
810	-988.0535	-1017.903	29.84916	4.932797
820	-991.9906	-1021.318	29.32698	5.454977
