Iteration	Posterior	Likelihood	Prior	alpha_inv	alpha_morpho	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	relative_bl[1]	relative_bl[2]	relative_bl[3]	relative_bl[4]	relative_bl[5]	relative_bl[6]	relative_bl[7]	relative_bl[8]	relative_bl[9]	relative_bl[10]	relative_bl[11]	relative_bl[12]	relative_bl[13]	relative_bl[14]	relative_bl[15]	relative_bl[16]	relative_bl[17]	relative_bl[18]	relative_bl[19]	relative_bl[20]	relative_bl[21]	relative_bl[22]	relative_bl[23]	relative_bl[24]	relative_bl[25]	relative_bl[26]	relative_bl[27]	tree_length
0	-708.7736	-730.997	22.22341	10.6183	0.09417706	0.272481	0.125442	0.0838841	0.153839	0.0212464	0.0533	0.0791486	0.00654149	0.125899	0.041681	0.186067	0.0788757	0.0993384	0.0381228	0.0392027	0.0507146	0.0491353	0.0075526	0.104107	0.0183599	0.0741594	0.0359142	0.0892571	0.0526096	0.0154956	0.00686558	0.0310071	2.23649e-07	0.000703014	0.07853	3.92077	0.140437	0.0646527	0.0432337	0.0792881	0.0109504	0.0274707	0.0407931	0.00337147	0.0648881	0.0214823	0.0958986	0.0406524	0.0511989	0.0196484	0.020205	0.0261382	0.0253242	0.0038926	0.0536563	0.00946268	0.0382216	0.0185101	0.046003	0.0271149	0.00798642	0.00353851	0.015981	1.940247
10	-709.2457	-730.7372	21.49154	11.47872	0.08711776	0.24518	0.163186	0.0299578	0.143407	0.00701437	0.0291462	0.0298208	0.0138004	0.113285	0.0331879	0.133432	0.0520074	0.0527443	0.0531259	0.127402	0.0808118	0.0630007	0.00886006	0.132741	0.00770478	0.066729	0.00611734	0.0734574	0.0753464	0.0432914	0.00194266	0.0250003	6.79261e-08	0.000387679	0.0613512	3.93826	0.135332	0.0900735	0.0165357	0.0791559	0.0038717	0.0160878	0.0164601	0.00761738	0.0625294	0.0183186	0.0736504	0.0287064	0.0291131	0.0293238	0.0703219	0.0446055	0.0347744	0.00489047	0.0732686	0.00425279	0.0368323	0.00337657	0.0405461	0.0415888	0.0238954	0.00107229	0.0137994	1.8117
20	-711.0353	-732.3463	21.31093	11.85116	0.08437995	0.194149	0.146438	0.0268832	0.0900407	0.0115729	0.15373	0.0599045	0.00804829	0.101658	0.0263682	0.126801	0.0468508	0.0661121	0.0664941	0.0297064	0.072518	0.0565349	0.0107396	0.0947588	0.00232591	0.0265817	0.0106812	0.0292956	0.0696645	0.0643475	0.00333188	0.0243255	4.05506e-08	0.00029961	0.0551293	3.94457	0.119855	0.0904017	0.016596	0.0555854	0.00714437	0.0949028	0.0369812	0.0049685	0.0627572	0.0162781	0.078279	0.0289227	0.0408134	0.0410492	0.0183389	0.044768	0.0349011	0.00662992	0.0584981	0.00143587	0.0164098	0.00659392	0.0180852	0.0430064	0.0397241	0.00205689	0.015017	1.619862
30	-716.39	-736.3306	19.94059	13.10021	0.07633465	0.317107	0.112842	0.0295479	0.0728115	0.0109141	0.118461	0.0623649	0.0133136	0.105457	0.0526818	0.158608	0.0048732	0.107568	0.0335179	0.0478759	0.055881	0.0934881	0.00341483	0.0730192	0.00231539	0.10753	0.0154178	0.0137482	0.0641895	0.00109197	0.0213667	0.0417504	7.18721e-09	0.000126222	0.038508	3.96137	0.182124	0.0648089	0.0169702	0.0418179	0.0062683	0.0680357	0.0358181	0.00764641	0.0605671	0.0302568	0.0910932	0.00279883	0.0617797	0.0192503	0.0274966	0.0320941	0.0536931	0.00196124	0.0419372	0.0013298	0.061758	0.00885492	0.00789601	0.036866	0.000627153	0.0122715	0.0239785	1.741158
40	-716.527	-739.258	22.73104	10.16965	0.09833179	0.198565	0.140837	0.0930696	0.0759866	0.0207877	0.0682619	0.0829291	0.00996394	0.110056	0.0349406	0.156782	0.00508571	0.118298	0.0419869	0.0606624	0.0583178	0.0340639	0.132706	0.0788491	0.000685101	0.0521747	0.0606811	0.010085	0.0589505	0.000733034	0.126283	0.0495246	4.16284e-07	0.00095876	0.0893063	3.90973	0.105549	0.0748631	0.0494718	0.0403912	0.0110498	0.0362851	0.0440815	0.0052964	0.0585008	0.0185729	0.0833385	0.00270334	0.062882	0.0223184	0.0322455	0.0309992	0.0181069	0.0705407	0.0419128	0.00036417	0.0277338	0.0322555	0.00536076	0.0313356	0.000389649	0.0671267	0.0263252	1.881266
50	-711.514	-735.0753	23.56127	9.423506	0.1061176	0.344039	0.143386	0.0442155	0.0147188	0.02266	0.052374	0.0887715	0.00174772	0.126604	0.0268428	0.180356	0.00276788	0.0981561	0.0452142	0.0854038	0.0288989	0.059759	0.0458676	0.0431206	0.000790228	0.0145234	0.0425099	0.00623186	0.0648251	0.000863529	0.0962963	0.116235	1.1697e-06	0.00160595	0.11057	3.88782	0.191433	0.0797841	0.0246027	0.00818992	0.0126086	0.0291424	0.0493949	0.000972479	0.070446	0.0149361	0.100355	0.00154012	0.0546168	0.0251584	0.047521	0.0160801	0.0332516	0.025522	0.0239935	0.000439705	0.00808124	0.0236537	0.00346758	0.0360705	0.000480492	0.0535819	0.0646763	1.797178
60	-712.0709	-733.5091	21.43817	11.73021	0.08524993	0.30841	0.0947958	0.0505659	0.0648753	0.0208108	0.0781909	0.0795783	0.0125346	0.0680053	0.00903986	0.128479	0.003947	0.0912575	0.0534395	0.0520015	0.0712074	0.0575662	0.0226459	0.0516784	0.00138216	0.00430549	0.0326856	0.0884585	0.0168614	0.00258801	0.0686922	0.0795673	4.79458e-08	0.000325761	0.0570775	3.9426	0.191135	0.0587492	0.0313379	0.0402061	0.0128974	0.0484583	0.0493182	0.00776823	0.0421459	0.0056024	0.0796238	0.00244613	0.0565563	0.0331188	0.0322276	0.0441304	0.0356763	0.0140347	0.0320274	0.000856588	0.0026683	0.0202567	0.0548217	0.0104498	0.0016039	0.0425716	0.0493113	1.613569
70	-707.7933	-731.0477	23.25438	9.777873	0.1022717	0.19589	0.147709	0.0461233	0.184385	0.0152876	0.0677173	0.0725867	0.00697218	0.130332	0.0184327	0.117191	0.0307823	0.0832398	0.0430739	0.0868537	0.0831626	0.0525085	0.0256931	0.100864	0.0119062	0.00713505	0.0375572	0.00240909	0.0302269	0.043014	0.0360651	0.0725766	7.16129e-07	0.00125704	0.0999095	3.89883	0.111957	0.0844201	0.0263608	0.105381	0.00873728	0.0387023	0.0414853	0.0039848	0.0744884	0.0105348	0.0669778	0.0175929	0.0475739	0.0246179	0.0496393	0.0475298	0.0300101	0.0146844	0.0576464	0.00680473	0.00407788	0.021465	0.00137686	0.0172755	0.0245837	0.0206122	0.0414796	1.749696
80	-716.0896	-740.3057	24.21613	8.912191	0.1122059	0.211215	0.159265	0.0569304	0.204138	0.00293453	0.0885532	0.0584565	0.0264832	0.140528	0.0106543	0.0919329	0.0352663	0.0882478	0.0416327	0.0529678	0.0449564	0.0267731	0.0277032	0.0843749	0.0107154	0.0261643	0.034241	0.00546755	0.0104515	0.0660956	0.0168105	0.0306748	2.37411e-06	0.00228654	0.127961	3.86975	0.127728	0.0963122	0.0344275	0.123448	0.00177459	0.0535506	0.0353503	0.0160151	0.0849815	0.00644299	0.0555944	0.0213266	0.053366	0.0251765	0.0320311	0.0271864	0.0161905	0.0167529	0.0510239	0.00647989	0.0158223	0.0207065	0.00330638	0.00632032	0.0399699	0.0101658	0.01855	1.653635
90	-707.0284	-730.2157	23.18736	9.744725	0.1026196	0.210308	0.141405	0.0530335	0.113715	0.0174725	0.0930599	0.0696588	0.00913976	0.146257	0.0435646	0.131683	0.116982	0.092739	0.0400736	0.0745629	0.0400776	0.0546447	0.0724657	0.0926245	0.0223433	0.0416944	0.043225	0.0274045	0.0197633	0.0546939	0.0123951	0.0148817	7.49764e-07	0.00128618	0.100862	3.89785	0.113688	0.0764404	0.0286688	0.0614721	0.00944525	0.0503062	0.0376561	0.00494076	0.0790635	0.0235501	0.0711849	0.0632381	0.0501328	0.021663	0.0403071	0.0216651	0.0295398	0.0391734	0.0500708	0.0120783	0.0225391	0.0233665	0.0148143	0.0106836	0.0295664	0.00670051	0.00804475	1.849868
