Iteration	Posterior	Likelihood	Prior	alpha_inv	alpha_morpho	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	relative_bl[1]	relative_bl[2]	relative_bl[3]	relative_bl[4]	relative_bl[5]	relative_bl[6]	relative_bl[7]	relative_bl[8]	relative_bl[9]	relative_bl[10]	relative_bl[11]	relative_bl[12]	relative_bl[13]	relative_bl[14]	relative_bl[15]	relative_bl[16]	relative_bl[17]	relative_bl[18]	relative_bl[19]	relative_bl[20]	relative_bl[21]	relative_bl[22]	relative_bl[23]	relative_bl[24]	relative_bl[25]	relative_bl[26]	relative_bl[27]	tree_length
100	-711.4452	-740.4372	28.99205	0.008817309	113.4133	0.622467	0.351461	0.386213	0.466987	0.080884	0.416618	0.118328	0.0343099	0.249262	0.0284072	0.396167	0.125055	0.250619	0.213121	0.154482	0.292663	0.0734054	0.0393392	0.0946225	0.000888292	0.626043	0.185972	0.026784	0.0504076	0.198237	0.124533	0.17381	0.883294	0.967046	1.02792	1.12174	0.107673	0.060795	0.0668063	0.0807784	0.0139911	0.0720656	0.0204681	0.00593485	0.0431168	0.00491381	0.0685282	0.0216318	0.0433516	0.0368652	0.0267219	0.0506243	0.0126975	0.00680481	0.0163676	0.000153655	0.108292	0.032169	0.00463304	0.0087194	0.0342907	0.0215415	0.0300653	5.781086
110	-710.4021	-738.8234	28.42127	0.03373369	29.64396	0.822662	0.201292	0.28375	0.712217	0.083369	0.439564	0.117861	0.0573337	0.352879	0.0147228	0.394605	0.0399218	0.249631	0.0823753	0.560106	0.179206	0.404336	0.0120982	0.202889	0.000216512	0.320886	0.0833936	0.0507112	0.372288	0.104502	0.124042	0.0600927	0.777151	0.93113	1.04963	1.24209	0.130025	0.031815	0.0448478	0.112569	0.0131768	0.0694749	0.0186284	0.00906183	0.055774	0.002327	0.0623689	0.00630981	0.0394552	0.0130198	0.088527	0.0283242	0.063907	0.00191218	0.0320674	3.42205e-05	0.0507173	0.0131807	0.0080151	0.0588416	0.0165169	0.0196054	0.0094979	6.326949
120	-710.8376	-739.0405	28.20286	0.02195397	45.54984	1.03961	0.157482	0.124683	0.846365	0.062608	0.528491	0.085836	0.060204	0.431922	0.0664513	0.400329	0.0507128	0.315463	0.26427	0.106105	0.111646	0.22656	0.0570328	0.0632642	0.00182684	0.260492	0.122382	0.163647	0.491765	0.272829	0.230241	0.0149183	0.818448	0.945829	1.04164	1.19408	0.158547	0.0240168	0.0190149	0.129075	0.00954808	0.0805979	0.0130905	0.00918144	0.0658705	0.0101342	0.0610525	0.00773398	0.0481098	0.0403026	0.0161815	0.0170266	0.0345517	0.00869782	0.00964814	0.000278603	0.0397265	0.0186639	0.0249572	0.0749969	0.0416079	0.035113	0.00227513	6.557137
130	-705.3542	-734.0472	28.69305	0.1207185	8.283734	0.486066	0.180161	0.049821	0.72624	0.164936	0.20685	0.116332	0.0577002	0.379841	0.140641	0.303084	0.162211	0.336071	0.460953	0.0445552	0.0683678	0.478266	0.11176	0.176182	0.00434352	0.253276	0.124893	0.0168725	0.490172	0.212901	0.197563	0.0181268	0.599259	0.855558	1.076	1.46918	0.0814429	0.0301869	0.00834776	0.121685	0.0276359	0.0346587	0.0194921	0.00966796	0.0636443	0.0235651	0.0507833	0.0271793	0.0563105	0.077235	0.00746546	0.0114554	0.0801359	0.0187259	0.0295201	0.00072778	0.0424376	0.0209265	0.00282707	0.0821308	0.0356727	0.0331026	0.00303724	5.968184
140	-707.9168	-736.3989	28.48206	0.04519219	22.12772	0.61106	0.0558587	0.220281	0.912996	0.220695	0.215831	0.134998	0.0725381	0.336186	0.0701795	0.381023	0.228216	0.404296	0.378019	0.1421	0.0056518	0.28285	0.140499	0.161139	0.277624	0.312037	0.0994815	0.0223307	0.151099	0.112488	0.25217	0.0530534	0.744197	0.918694	1.05555	1.28156	0.0976962	0.00893068	0.0352184	0.14597	0.0352847	0.034507	0.0215835	0.0115974	0.0537494	0.0112203	0.0609179	0.0364871	0.0646387	0.0604376	0.0227189	0.000903609	0.0452219	0.022463	0.0257629	0.0443865	0.0498884	0.0159051	0.00357022	0.0241576	0.0179846	0.0403169	0.00848216	6.254702
150	-703.7047	-732.871	29.16632	0.08796958	11.36757	0.766874	0.0560789	0.324876	0.650613	0.150378	0.194624	0.113277	0.052127	0.290229	0.0443266	0.398171	0.22224	0.133579	0.326343	0.152346	0.00143833	0.244183	0.141456	0.155358	0.263048	0.269381	0.0378016	0.0205887	0.0241014	0.163055	0.296892	0.0342774	0.652152	0.880315	1.0697	1.39783	0.138734	0.0101451	0.0587728	0.117701	0.0272046	0.035209	0.0204927	0.00943021	0.0525048	0.00801905	0.0720325	0.040205	0.0241656	0.0590382	0.0275607	0.000260206	0.0441748	0.0255906	0.0281056	0.0475875	0.0487332	0.00683863	0.00372467	0.00436014	0.0294979	0.0537103	0.00620107	5.527663
160	-709.8806	-738.2958	28.41522	0.2510303	3.983583	0.906666	0.287363	0.191644	0.769212	0.17779	0.111055	0.0966031	0.0256091	0.366805	0.0691944	0.5133	0.152707	0.204541	0.217973	0.0604422	0.0259748	0.196765	0.151263	0.150716	0.262059	0.215148	0.0397194	0.0709163	0.104165	0.192778	0.530024	0.0252715	0.453458	0.774639	1.0844	1.6875	0.148252	0.0469877	0.0313363	0.125776	0.029071	0.018159	0.0157959	0.00418744	0.0599775	0.0113142	0.0839314	0.0249697	0.0334452	0.0356416	0.00988311	0.00424723	0.0321738	0.0247336	0.0246441	0.0428501	0.0351797	0.00649466	0.0115958	0.0170324	0.0315217	0.0866661	0.00413223	6.115705
170	-709.8851	-739.0178	29.13271	0.09452477	10.57924	0.77725	0.182189	0.130022	0.613281	0.0814288	0.102991	0.13604	0.0290119	0.374768	0.089048	0.507772	0.322195	0.415335	0.215626	0.150752	0.0211213	0.277591	0.0575811	0.158151	0.259237	0.102218	0.00999167	0.131207	0.0593535	0.141999	0.172803	0.03576	0.64068	0.875125	1.07119	1.41301	0.139926	0.0327989	0.0234074	0.110407	0.0146594	0.0185412	0.0244909	0.00522293	0.0674683	0.0160311	0.0914126	0.0580038	0.0747715	0.0388185	0.0271394	0.00380241	0.0499739	0.0103662	0.0284714	0.0466696	0.0184021	0.00179877	0.0236208	0.0106852	0.0255636	0.0311092	0.00643776	5.554722
180	-708.1682	-736.4256	28.2574	0.4650578	2.15027	1.09837	0.148332	0.14373	0.480759	0.106597	0.206916	0.199492	0.00422234	0.468976	0.0563895	0.564845	0.282665	0.459124	0.112141	0.0783231	0.0233482	0.554683	0.120734	0.0384684	0.19198	0.148206	0.0500762	0.100222	0.100993	0.18481	0.12782	0.00727892	0.310576	0.670098	1.07333	1.94599	0.181263	0.0244792	0.0237198	0.0793398	0.0175917	0.0341473	0.0329222	0.000696814	0.0773952	0.00930597	0.0932165	0.0466483	0.0757693	0.0185066	0.0129257	0.00385316	0.0915394	0.0199248	0.00634844	0.0316825	0.0244585	0.00826409	0.0165397	0.0166669	0.0304993	0.0210942	0.00120124	6.059497
190	-712.8627	-740.7134	27.85073	0.5894882	1.696387	0.682044	0.266913	0.218057	0.224321	0.108095	0.258104	0.187148	0.0255622	0.822999	0.0883052	0.582483	0.0875128	0.126162	0.146698	0.126259	0.0673489	0.378789	0.329291	0.270371	0.139069	0.223652	0.0842537	0.0965274	0.260497	0.253528	0.252991	0.034751	0.254129	0.618285	1.06014	2.06745	0.107548	0.0420883	0.0343845	0.0353722	0.0170449	0.0406993	0.0295105	0.00403079	0.129775	0.0139245	0.0918492	0.0137995	0.0198939	0.0231322	0.0199092	0.01062	0.0597296	0.0519245	0.0426336	0.0219292	0.0352667	0.0132856	0.015221	0.0410766	0.0399778	0.0398931	0.00547973	6.341734
